,void_init_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_read_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_scale_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d3pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d5pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_triad_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_
SQC_ICACHE_MISSES,"2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523,2.4347826086956523","2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
wave_size_14,"64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_VMEM,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0","12582910.0,10847340.0,11102570.0,10485760.0,11650845.0,11184810.0,10485760.0,10485760.0,10485760.0,10824010.0,10485760.0,10485760.0,10874120.0,11983725.0,10485760.0,10485760.0,13981015.0,11292355.0,10485760.0,11439010.0,10941665.0,10485760.0,10905190.0,10485760.0,10485760.0,10485760.0,10985080.0,10485760.0,20971520.0,11037640.0,10485760.0,10485760.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0"
SQ_INSTS_SALU,"17105478.391304348,15098277.913043479,15393432.173913043,14680091.217391305,16027521.652173912,15488557.739130436,14680116.0,14680096.173913043,14680086.260869564,15071304.52173913,14680081.304347826,14680078.826086957,15129238.0,16412512.869565217,14680096.173913043,14680091.217391305,18722413.913043477,15612925.956521738,14680108.56521739,15782540.608695652,15207364.347826088,14680086.260869564,15165183.52173913,14680098.652173912,14680083.782608695,14680096.173913043,15257558.217391305,14680078.826086957,26807088.217391305,15318342.52173913,14680078.826086957,14680086.260869564","25165830.0,21694716.0,22205146.0,20971545.0,23301693.0,22369645.0,20971575.0,20971551.0,20971539.0,21648069.0,20971533.0,20971530.0,21748265.0,23967466.0,20971551.0,20971545.0,27962033.0,22584723.0,20971566.0,22878039.0,21883363.0,20971539.0,21810420.0,20971554.0,20971536.0,20971551.0,21970176.0,20971530.0,41943050.0,22075293.0,20971530.0,20971539.0","22649247.0,19525248.0,19984632.0,18874392.0,20971524.0,20132682.0,18874422.0,18874398.0,18874386.0,19483266.0,18874380.0,18874377.0,19573440.0,21570720.0,18874398.0,18874392.0,25165830.0,20326251.0,18874413.0,20590236.0,19695030.0,18874386.0,19629381.0,18874401.0,18874383.0,18874398.0,19773159.0,18874377.0,37748745.0,19867764.0,18874377.0,18874386.0","25165830.0,21694752.0,22205152.0,20971560.0,23301696.0,22369660.0,20971620.0,20971572.0,20971548.0,21648108.0,20971536.0,20971530.0,21748280.0,23967472.0,20971572.0,20971560.0,27962036.0,22584726.0,20971602.0,22878048.0,21883396.0,20971548.0,21810450.0,20971578.0,20971542.0,20971572.0,21970182.0,20971530.0,41943050.0,22075296.0,20971530.0,20971548.0","30198990.0,26033688.0,26646180.0,25165860.0,27962034.0,26843580.0,25165920.0,25165872.0,25165848.0,25977708.0,25165836.0,25165830.0,26097924.0,28760958.0,25165872.0,25165860.0,33554442.0,27101664.0,25165902.0,27453648.0,26260062.0,25165848.0,26172522.0,25165878.0,25165842.0,25165872.0,26364210.0,25165830.0,50331654.0,26490348.0,25165830.0,25165848.0","22649247.0,19525248.0,19984632.0,18874392.0,20971524.0,20132682.0,18874422.0,18874398.0,18874386.0,19483266.0,18874380.0,18874377.0,19573440.0,21570720.0,18874398.0,18874392.0,25165830.0,20326251.0,18874413.0,20590236.0,19695030.0,18874386.0,19629381.0,18874401.0,18874383.0,18874398.0,19773159.0,18874377.0,37748745.0,19867764.0,18874377.0,18874386.0"
SQ_INSTS,"68421910.95652173,60393099.13043478,61573724.43478261,58720358.13043478,64110083.17391305,61954224.217391305,58720449.0,58720376.30434783,58720339.95652174,60285204.73913044,58720321.782608695,58720312.69565217,60516945.26086956,65650047.217391305,58720376.30434783,58720358.13043478,74889652.2173913,62451700.39130435,58720421.73913044,63130157.347826086,60829445.69565217,58720339.95652174,60660723.217391305,58720385.39130435,58720330.86956522,58720376.30434783,61030228.60869565,58720312.69565217,107228350.26086956,61273366.652173914,58720312.69565217,58720339.95652174","75497490.0,65084172.0,66615442.0,62914645.0,69905081.0,67108945.0,62914755.0,62914667.0,62914623.0,64944233.0,62914601.0,62914590.0,65244805.0,71902402.0,62914667.0,62914645.0,83886101.0,67754171.0,62914722.0,68634123.0,65650111.0,62914623.0,65431280.0,62914678.0,62914612.0,62914667.0,65910532.0,62914590.0,125829150.0,66225881.0,62914590.0,62914623.0","88080405.0,75931512.0,77718012.0,73400410.0,81555926.0,78293760.0,73400520.0,73400432.0,73400388.0,75768248.0,73400366.0,73400355.0,76118930.0,83886132.0,73400432.0,73400410.0,97867116.0,79046531.0,73400487.0,80073138.0,76591776.0,73400388.0,76336475.0,73400443.0,73400377.0,73400432.0,76895617.0,73400355.0,146800675.0,77263526.0,73400355.0,73400388.0","100663320.0,86778900.0,88820590.0,83886195.0,93206775.0,89478595.0,83886345.0,83886225.0,83886165.0,86592315.0,83886135.0,83886120.0,86993075.0,95869870.0,83886225.0,83886195.0,111848135.0,90338895.0,83886300.0,91512165.0,87533485.0,83886165.0,87241710.0,83886240.0,83886150.0,83886225.0,87880710.0,83886120.0,167772200.0,88301175.0,83886120.0,83886165.0","153511517.0,132337728.0,135451384.0,127926362.0,142140324.0,136454772.0,127926512.0,127926392.0,127926332.0,132053132.0,127926302.0,127926287.0,132664354.0,146201490.0,127926392.0,127926362.0,170568398.0,137766761.0,127926467.0,139555982.0,133488478.0,127926332.0,133043483.0,127926407.0,127926317.0,127926392.0,134018021.0,127926287.0,255852559.0,134659238.0,127926287.0,127926332.0","98146737.0,84609384.0,86600068.0,81789022.0,90876602.0,87241612.0,81789132.0,81789044.0,81789000.0,84427460.0,81788978.0,81788967.0,84818230.0,93473116.0,81789044.0,81789022.0,109051928.0,88080419.0,81789099.0,89224350.0,85345108.0,81789000.0,85060631.0,81789055.0,81788989.0,81789044.0,85683685.0,81788967.0,163577895.0,86093642.0,81788967.0,81789000.0"
SQ_INSTS_VALU,"21992755.695652176,19412060.86956522,19791552.0,18874397.217391305,20606810.608695652,19913854.173913043,18874422.0,18874402.173913043,18874392.260869566,19377380.086956523,18874387.304347824,18874384.826086957,19451871.652173914,21101798.608695652,18874402.173913043,18874397.217391305,24071672.086956523,20073759.0,18874414.56521739,20291833.56521739,19552315.56521739,18874392.260869566,19498083.782608695,18874404.652173914,18874389.782608695,18874402.173913043,19616856.913043477,18874384.826086957,34466254.04347826,19695008.86956522,18874384.826086957,18874392.260869566","20132664.0,17355780.0,17764118.0,16777239.0,18641355.0,17895719.0,16777269.0,16777245.0,16777233.0,17318463.0,16777227.0,16777224.0,17398615.0,19173974.0,16777245.0,16777239.0,22369627.0,18067779.0,16777260.0,18302433.0,17506697.0,16777233.0,17448342.0,16777248.0,16777230.0,16777245.0,17576142.0,16777224.0,33554440.0,17660235.0,16777224.0,16777233.0","27682413.0,23864184.0,24425660.0,23068698.0,25631862.0,24606608.0,23068728.0,23068704.0,23068692.0,23812872.0,23068686.0,23068683.0,23923090.0,26364212.0,23068704.0,23068698.0,30758236.0,24843195.0,23068719.0,25165842.0,24071696.0,23068692.0,23991459.0,23068707.0,23068689.0,23068704.0,24167193.0,23068683.0,46137355.0,24282822.0,23068683.0,23068692.0","32715579.0,28203132.0,28866690.0,27263009.0,30292201.0,29080539.0,27263049.0,27263017.0,27263001.0,28142491.0,27262993.0,27262989.0,28272745.0,31157706.0,27263017.0,27263009.0,36350643.0,29360140.0,27263037.0,29741451.0,28448373.0,27263001.0,28353547.0,27263021.0,27262997.0,27263017.0,28561229.0,27262989.0,54525965.0,28697881.0,27262989.0,27263001.0","72980882.0,62914620.0,64394914.0,60817432.0,67574905.0,64871922.0,60817472.0,60817440.0,60817424.0,62779314.0,60817416.0,60817412.0,63069920.0,69505617.0,60817440.0,60817432.0,81089891.0,65495667.0,60817460.0,66346274.0,63461701.0,60817424.0,63250146.0,60817444.0,60817420.0,60817440.0,63713476.0,60817412.0,121634820.0,64018320.0,60817412.0,60817424.0","35232162.0,30372588.0,31087202.0,29360157.0,32622369.0,31317497.0,29360187.0,29360163.0,29360151.0,30307281.0,29360145.0,29360142.0,30447565.0,33554450.0,29360163.0,29360157.0,39146845.0,31618611.0,29360178.0,32029251.0,30636695.0,29360151.0,30534576.0,29360166.0,29360148.0,29360163.0,30758244.0,29360142.0,58720270.0,30905409.0,29360142.0,29360151.0"
GRBM_SPI_BUSY,"2678796.8695652173,1155364.0,1195978.9130434783,1251973.391304348,1676388.608695652,1227660.956521739,1151510.8260869565,1227483.391304348,1152870.4782608696,1152107.652173913,3233239.782608696,2289945.0434782607,1157943.043478261,2025835.2608695652,1150717.608695652,1151985.652173913,4175087.652173913,1312948.608695652,1152255.1739130435,1459989.0,1166506.9130434783,1819109.4782608696,1162588.608695652,1154551.608695652,1546057.0,1161251.652173913,1171283.6956521738,1164286.7826086956,11314808.956521738,1177466.1739130435,6050106.130434782,1386229.7826086956","4082905.6842105263,1233981.8421052631,1538833.6842105263,1731220.105263158,2528321.6842105263,1653222.0526315789,1262692.7368421052,1636566.7368421052,1306851.7368421052,1254740.4736842106,5284252.0,3491478.4210526315,1290029.4210526317,3075999.3157894737,1282922.9473684211,1275769.2631578948,6569008.263157895,1862127.6842105263,1248702.3157894737,2131890.052631579,1330722.4736842106,2898531.4210526315,1315307.2631578948,1340929.4210526317,2253181.0,1365572.4736842106,1337414.0526315789,1434264.7894736843,18911866.157894738,1403590.4736842106,9787783.789473685,2034897.7368421052","6147987.102941176,2452575.529411765,2699821.044117647,2862302.25,3753682.823529412,2788905.720588235,2581432.5588235296,2760429.5588235296,2471760.705882353,2486040.426470588,7772279.676470589,5216215.926470589,2436595.426470588,4538524.352941176,2538410.544117647,2431284.529411765,9553908.19117647,2978912.544117647,2601722.367647059,3314738.176470588,2475768.4117647056,4038760.3382352944,2463420.1470588236,2510719.676470588,3476377.3382352944,2518531.1911764704,2623355.205882353,2701852.9117647056,25478333.69117647,2660284.3088235296,13968222.073529411,3134662.367647059","6452756.52631579,2663002.6842105263,2997199.736842105,2991067.1578947366,3976808.1578947366,2982856.1052631577,2867553.1052631577,3015931.6842105263,2709639.5263157897,2761992.5789473685,8128065.7894736845,5483105.315789473,2675862.947368421,4824807.947368421,2869054.3684210526,2665522.6315789474,10026522.157894736,3143790.3157894737,2839673.4736842103,3552288.6842105263,2736332.1052631577,4365257.0,2737505.6315789474,2727432.052631579,3682030.947368421,2768684.1052631577,2959589.8421052634,2991953.4736842103,26293594.42105263,2946379.736842105,14584902.263157895,3307127.5263157897","7147644.736842105,3106673.3684210526,3592024.5263157897,3705631.263157895,4625515.263157895,3699968.210526316,3309971.6842105263,3562994.1578947366,3210188.0,3094931.3684210526,8750644.631578946,6065605.421052632,3206829.5263157897,5443687.105263158,3355878.6842105263,3181042.8947368423,10884375.210526315,3934490.3684210526,3219963.052631579,4194190.736842105,3280261.210526316,4839696.263157895,3298756.947368421,3313289.6315789474,4263671.578947368,3386756.5263157897,3523285.736842105,3558728.4210526315,28057370.315789472,3563651.6842105263,15393009.421052631,3924685.1052631577","6565514.736842105,3954649.4736842103,4035539.8947368423,3939218.789473684,4391774.52631579,4020880.0,4346218.7894736845,4053999.736842105,3908477.210526316,4126804.6315789474,7967906.947368421,5663713.578947368,3902453.0,5114336.842105263,4177273.1052631577,3930668.210526316,10263248.05263158,3978714.3684210526,4241086.684210527,4094898.5263157897,3921581.1052631577,4741711.631578947,3994707.4736842103,3929957.8947368423,4162809.8947368423,3991040.8947368423,4231367.842105263,4207660.7894736845,26985948.05263158,4172834.4736842103,14524132.894736841,4067157.5789473685"
TCP_TA_TCP_STATE_READ_sum,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0","12582910.0,10847340.0,11102570.0,10485760.0,11650845.0,11184810.0,10485760.0,10485760.0,10485760.0,10824010.0,10485760.0,10485760.0,10874120.0,11983725.0,10485760.0,10485760.0,13981015.0,11292355.0,10485760.0,11439010.0,10941665.0,10485760.0,10905190.0,10485760.0,10485760.0,10485760.0,10985080.0,10485760.0,20971520.0,11037640.0,10485760.0,10485760.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0"
TD_SPI_STALL_sum,"21564.82608695652,78388.34782608696,22012.478260869564,30782.695652173912,28997.391304347828,28022.608695652172,59602.434782608696,26533.304347826088,43540.565217391304,70169.91304347826,17284.0,20473.82608695652,78023.21739130435,29265.347826086956,45788.260869565216,58674.913043478264,19017.391304347828,34289.65217391304,50098.34782608696,32573.0,57550.0,26057.695652173912,66930.91304347826,21650.739130434784,28466.869565217392,15875.652173913044,22620.217391304348,23281.217391304348,10152.0,19367.956521739132,10992.304347826086,28800.782608695652","13222.78947368421,54347.63157894737,43203.94736842105,28166.842105263157,20707.315789473683,38525.94736842105,42932.63157894737,33992.78947368421,49940.21052631579,50669.0,7290.894736842105,10834.842105263158,55773.05263157895,18703.684210526317,51688.63157894737,51750.57894736842,8197.263157894737,29782.947368421053,50132.89473684211,25108.57894736842,54537.10526315789,15750.736842105263,54324.15789473684,49279.73684210526,19669.21052631579,46688.21052631579,53345.84210526316,42987.84210526316,0.0,51006.21052631579,0.0,22628.263157894737","7669.926470588235,17620.39705882353,26927.95588235294,21965.10294117647,18614.823529411762,26546.985294117647,14623.95588235294,22724.235294117647,24496.10294117647,14494.161764705881,3908.7058823529414,6951.117647058823,28526.29411764706,14454.764705882353,24862.279411764706,25988.132352941175,4635.676470588235,24216.176470588238,17382.16176470588,22073.176470588238,28128.66176470588,11460.54411764706,28090.79411764706,25247.441176470587,15388.25,25049.514705882353,26138.279411764706,23364.676470588238,0.0,26619.882352941175,0.029411764705882353,17543.617647058825","11427.052631578947,14636.21052631579,13885.736842105263,18258.052631578947,16608.42105263158,19446.052631578947,21779.263157894737,16682.842105263157,14466.21052631579,24057.842105263157,6192.789473684211,9923.052631578947,15006.421052631578,14876.473684210527,13977.947368421053,14117.105263157895,7836.736842105263,19552.473684210527,13411.105263157895,17644.315789473683,16217.157894736842,12519.684210526315,16114.315789473685,13164.842105263158,15316.526315789473,11827.315789473685,13369.947368421053,12774.736842105263,0.0,12847.368421052632,0.0,16110.052631578947","4850.263157894737,144545.57894736843,10964.157894736842,17186.315789473683,6271.263157894737,6676.0526315789475,141880.31578947368,7060.421052631579,78978.63157894737,172756.36842105264,4519.684210526316,4394.0,95782.05263157895,3344.5789473684213,27816.473684210527,90081.36842105263,4716.8421052631575,19587.842105263157,132624.15789473685,11172.157894736842,86709.94736842105,3676.7894736842104,29588.105263157893,25118.36842105263,6656.0,12104.21052631579,28084.21052631579,9834.105263157895,0.0,13441.263157894737,0.0,10553.578947368422","12025.263157894737,8617.526315789473,8178.789473684211,16291.684210526315,15479.947368421053,10673.578947368422,15036.473684210527,9428.0,9933.473684210527,11694.842105263158,5791.0,10903.105263157895,11311.578947368422,14455.473684210527,9585.368421052632,9410.105263157895,8061.1578947368425,17440.315789473683,8819.842105263158,17194.894736842107,11059.105263157895,12673.78947368421,12015.21052631579,8353.842105263158,15307.368421052632,7167.526315789473,8289.368421052632,7535.368421052632,0.0,8184.8421052631575,0.0,15382.78947368421"
TD_LOAD_WAVEFRONT_sum,"2443638.652173913,2156891.4782608696,2199059.913043478,2097153.0,2289644.4782608696,2212648.217391304,2097153.0,2097153.0,2097153.0,2153037.782608696,2097153.0,2097153.0,2161316.8260869565,2344642.8695652173,2097153.0,2097153.0,2674629.086956522,2230416.5217391304,2097153.0,2254646.4782608696,2172475.6086956523,2097153.0,2166450.1304347827,2097153.0,2097153.0,2097153.0,2179649.347826087,2097153.0,3829582.913043478,2188333.1739130435,2097153.0,2097153.0","2516583.0,2169468.0,2220514.0,2097153.0,2330169.0,2236963.0,2097153.0,2097153.0,2097153.0,2164803.0,2097153.0,2097153.0,2174825.0,2396746.0,2097153.0,2097153.0,2796203.0,2258472.0,2097153.0,2287803.0,2188333.0,2097153.0,2181039.0,2097153.0,2097153.0,2097153.0,2197017.0,2097153.0,4194305.0,2207529.0,2097153.0,2097153.0","5033166.0,4338936.0,4441028.0,4194306.0,4660338.0,4473926.0,4194306.0,4194306.0,4194306.0,4329606.0,4194306.0,4194306.0,4349650.0,4793492.0,4194306.0,4194306.0,5592406.0,4516944.0,4194306.0,4575606.0,4376666.0,4194306.0,4362078.0,4194306.0,4194306.0,4194306.0,4394034.0,4194306.0,8388610.0,4415058.0,4194306.0,4194306.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0","12582910.0,10847340.0,11102570.0,10485760.0,11650845.0,11184810.0,10485760.0,10485760.0,10485760.0,10824010.0,10485760.0,10485760.0,10874120.0,11983725.0,10485760.0,10485760.0,13981015.0,11292355.0,10485760.0,11439010.0,10941665.0,10485760.0,10905190.0,10485760.0,10485760.0,10485760.0,10985080.0,10485760.0,20971520.0,11037640.0,10485760.0,10485760.0","7549749.0,6508404.0,6661542.0,6291459.0,6990507.0,6710889.0,6291459.0,6291459.0,6291459.0,6494409.0,6291459.0,6291459.0,6524475.0,7190238.0,6291459.0,6291459.0,8388609.0,6775416.0,6291459.0,6863409.0,6564999.0,6291459.0,6543117.0,6291459.0,6291459.0,6291459.0,6591051.0,6291459.0,12582915.0,6622587.0,6291459.0,6291459.0"
SPI_CSN_NUM_THREADGROUPS,"715767.4347826086,142273.91304347827,226610.78260869565,270286.0,407779.9130434783,253786.5652173913,131073.0,239349.86956521738,167164.73913043478,134565.69565217392,889011.0869565217,600272.2173913043,151123.78260869565,517775.8695652174,156059.65217391305,146540.65217391305,1177749.1304347827,289323.17391304346,138291.34782608695,337783.0869565217,173442.1739130435,455903.60869565216,161390.39130434784,180289.60869565216,369281.7826086957,196038.95652173914,187788.8260869565,215287.60869565216,3487655.9565217393,205156.47826086957,1755226.043478261,311534.17391304346","838861.0,144632.0,246724.0,299594.0,466034.0,279621.0,131073.0,262145.0,174763.0,135301.0,1048577.0,699051.0,155345.0,599187.0,161320.0,149797.0,1398102.0,322639.0,139811.0,381301.0,182362.0,524289.0,167773.0,190651.0,419431.0,209716.0,199729.0,233017.0,4194305.0,220753.0,2097153.0,349526.0","838861.0,144632.0,246724.0,299594.0,466034.0,279621.0,131073.0,262145.0,174763.0,135301.0,1048577.0,699051.0,155345.0,599187.0,161320.0,149797.0,1398102.0,322639.0,139811.0,381301.0,182362.0,524289.0,167773.0,190651.0,419431.0,209716.0,199729.0,233017.0,4194305.0,220753.0,2097153.0,349526.0","838861.0,144632.0,246724.0,299594.0,466034.0,279621.0,131073.0,262145.0,174763.0,135301.0,1048577.0,699051.0,155345.0,599187.0,161320.0,149797.0,1398102.0,322639.0,139811.0,381301.0,182362.0,524289.0,167773.0,190651.0,419431.0,209716.0,199729.0,233017.0,4194305.0,220753.0,2097153.0,349526.0","838861.0,144632.0,246724.0,299594.0,466034.0,279621.0,131073.0,262145.0,174763.0,135301.0,1048577.0,699051.0,155345.0,599187.0,161320.0,149797.0,1398102.0,322639.0,139811.0,381301.0,182362.0,524289.0,167773.0,190651.0,419431.0,209716.0,199729.0,233017.0,4194305.0,220753.0,2097153.0,349526.0","838861.0,144632.0,246724.0,299594.0,466034.0,279621.0,131073.0,262145.0,174763.0,135301.0,1048577.0,699051.0,155345.0,599187.0,161320.0,149797.0,1398102.0,322639.0,139811.0,381301.0,182362.0,524289.0,167773.0,190651.0,419431.0,209716.0,199729.0,233017.0,4194305.0,220753.0,2097153.0,349526.0"
