Unnamed: 0,void_init_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_read_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_scale_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d3pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_stencil1d5pt_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_,void_triad_kernel<double>(double*__double_const*__double_const*__double_const*__unsigned_long__bool)_
CPF_L2Cache_Intf_Util_max,"0.35,0.35,0.37,0.36,0.37,0.35,0.36,0.37,0.37,0.74,0.45,0.44,0.48,0.44,0.49,0.52,0.49,0.55,0.45,0.45,0.43,0.42,0.46,0.44,0.48,0.45,0.48,0.5,0.46,0.51,0.49,0.49","0.03,0.06,0.1,0.12,0.15,0.19,0.21,0.22,0.25,0.25,0.31,0.31,0.32,0.32,0.37,0.39,0.42,0.44,0.52,0.51,0.49,0.47,0.52,0.53,0.55,0.56,0.52,0.54,0.49,0.54,0.53,0.6","0.02,0.04,0.07,0.08,0.1,0.12,0.15,0.16,0.17,0.17,0.2,0.18,0.21,0.2,0.22,0.23,0.24,0.25,0.25,0.25,0.23,0.23,0.24,0.23,0.25,0.25,0.25,0.25,0.23,0.27,0.27,0.26","0.02,0.04,0.06,0.08,0.1,0.1,0.13,0.13,0.14,0.14,0.15,0.16,0.16,0.15,0.17,0.18,0.17,0.19,0.16,0.18,0.17,0.16,0.17,0.18,0.19,0.2,0.18,0.19,0.18,0.21,0.21,0.2","0.32,0.04,0.05,0.07,0.09,0.1,0.12,0.13,0.13,0.15,0.15,0.14,0.16,0.14,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.16,0.16,0.15,0.16,0.15,0.18,0.16,0.15","0.03,0.04,0.06,0.08,0.1,0.11,0.13,0.14,0.15,0.17,0.18,0.19,0.2,0.18,0.21,0.21,0.21,0.23,0.22,0.21,0.21,0.19,0.21,0.21,0.23,0.25,0.21,0.23,0.21,0.25,0.24,0.24"
CPF_UTCL1_Stall_avg,"3.48,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","4.21,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","4.21,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","507.11,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
CPF_UTCL1_Stall_max,"80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","9555.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
CPC_GPU_Busy_Cycles_avg,"11326833.96,6061346.39,4186583.26,3244574.65,2689971.52,2300705.61,2037926.65,1831278.0,1688177.83,1557183.65,1469632.87,1396598.96,1323812.04,1262982.48,1239523.57,1238539.57,1204173.09,1175237.83,1411234.63,1383600.63,1345330.26,1352718.26,1340303.37,1313330.11,1330716.26,1301501.84,1300145.95,1310859.53,1247590.32,1263156.84,1271455.58,1287097.11","18930460.0,9797334.53,6574038.0,5291155.58,4099542.68,3508579.95,3087010.63,2905803.26,2541715.42,2262601.26,2155793.68,2042410.95,1883794.47,1748882.37,1669439.37,1639205.16,1555610.89,1452388.0,1188056.35,1172920.7,1182281.52,1167003.74,1178139.96,1163789.48,1172997.91,1164084.43,1168355.87,1176312.83,1166776.65,1158606.52,1163115.57,1163854.3","25480702.16,13987166.53,9562534.58,7783675.05,6160123.79,5228036.74,4548728.79,4051874.26,3765930.74,3486744.68,3328309.95,3149315.74,2985130.32,2867962.42,2814106.16,2772387.63,2777039.05,2610626.32,2550838.68,2547651.47,2539743.84,2517284.47,2490771.58,2486396.95,2554324.53,2455783.63,2445268.84,2576708.63,2463386.58,2470329.47,2593981.16,2538366.32","26991378.58,14595914.95,10275219.89,8140011.95,6567744.21,5675983.16,5124927.32,4747551.58,4407897.68,4274722.42,4205806.11,3964701.16,3937426.95,3713089.0,3715093.32,3576671.0,3703390.37,3517268.21,3502595.58,3398804.47,3466887.21,3328341.84,3315288.47,3219056.63,3396883.89,3230387.37,3218410.26,3342505.89,3115050.63,3122356.37,3222174.79,3280061.84","28072330.68,15406771.37,10892730.21,8760253.26,7160248.68,6077548.63,5454580.16,4856983.42,4635831.58,4168957.58,4097108.26,4101600.74,3981816.21,3959313.79,4036819.21,4059802.79,4306609.95,4125973.58,4037404.47,3938574.63,4065522.84,4004231.26,3963510.16,3927267.16,4227458.95,3997036.79,3991313.11,4223452.89,3928165.21,4086791.84,4276736.32,4295499.11","26303551.21,14525830.21,10035486.37,7981839.05,6470145.11,5491547.53,4833976.0,4373228.89,3988940.53,3692002.37,3562572.37,3307429.37,3155547.0,2998942.26,2991559.58,3029037.05,3119387.37,2899608.26,2852852.95,2770528.74,2873097.42,2791294.16,2780455.79,2724722.05,2910784.63,2776784.84,2701813.11,2893795.47,2663641.11,2735887.95,2857412.68,2856430.42"
CPC_GPU_Busy_Cycles_min,"1186727.0,1183110.0,1181215.0,1183566.0,1184237.0,1179753.0,1183224.0,1182641.0,1182335.0,1180264.0,1178211.0,1180573.0,1178423.0,1181601.0,1182165.0,1179998.0,1171737.0,1129998.0,1359994.0,1347944.0,1304272.0,1326972.0,1307161.0,1262609.0,1304137.0,1266278.0,1275990.0,1281927.0,1206150.0,1236121.0,1214408.0,1250880.0","18860806.0,9749257.0,6528998.0,5247484.0,4054281.0,3449233.0,3041743.0,2871265.0,2494281.0,2233711.0,2135075.0,2008613.0,1854974.0,1708204.0,1637659.0,1589979.0,1520103.0,1400665.0,1147327.0,1121985.0,1142922.0,1121704.0,1140592.0,1121818.0,1133862.0,1122742.0,1129419.0,1124869.0,1126111.0,1119732.0,1122250.0,1120340.0","25431171.0,13946773.0,9539805.0,7757965.0,6135986.0,5189640.0,4523965.0,4015245.0,3736332.0,3453411.0,3298149.0,3111006.0,2947817.0,2821769.0,2782657.0,2734325.0,2666060.0,2553729.0,2484440.0,2502131.0,2470957.0,2446118.0,2449687.0,2440500.0,2522698.0,2423811.0,2418203.0,2541522.0,2444839.0,2455404.0,2550296.0,2486498.0","26958499.0,14563992.0,10224452.0,8114299.0,6535248.0,5634392.0,5083379.0,4706806.0,4353686.0,4245099.0,4176525.0,3912830.0,3918557.0,3691789.0,3695921.0,3555613.0,3683802.0,3489720.0,3477612.0,3374974.0,3454585.0,3307712.0,3280157.0,3188958.0,3325526.0,3206529.0,3200301.0,3324906.0,3092799.0,3092161.0,3208277.0,3250605.0","27907686.0,15375263.0,10879862.0,8740906.0,7139743.0,6052837.0,5431596.0,4821757.0,4610816.0,4127991.0,4035108.0,3980015.0,3951652.0,3893879.0,4006670.0,4003317.0,4212008.0,3977507.0,3919228.0,3904870.0,3907203.0,3894400.0,3912488.0,3886224.0,4117066.0,3893491.0,3900224.0,4191683.0,3893425.0,3934407.0,4180975.0,4205124.0","26182774.0,14482524.0,10022027.0,7923199.0,6443007.0,5466912.0,4803173.0,4338734.0,3958594.0,3666718.0,3537061.0,3260042.0,3126797.0,2963084.0,2946777.0,3004740.0,3087166.0,2799311.0,2794379.0,2735898.0,2764705.0,2724632.0,2719763.0,2691649.0,2879794.0,2660263.0,2659202.0,2881430.0,2629417.0,2644487.0,2839065.0,2791443.0"
CPC_GPU_Busy_Cycles_max,"13480982.0,7101515.0,4830350.0,3691652.0,3018515.0,2548208.0,2230814.0,1982987.0,1811168.0,1654449.0,1549705.0,1465126.0,1379038.0,1308339.0,1284592.0,1284091.0,1245364.0,1212025.0,1448008.0,1410409.0,1381145.0,1376069.0,1363448.0,1347465.0,1354010.0,1519407.0,1319098.0,1334946.0,1276366.0,1291057.0,1309549.0,1320501.0","18994445.0,9841627.0,6621002.0,5350731.0,4133200.0,3554812.0,3118671.0,2937055.0,2573858.0,2294994.0,2185923.0,2075443.0,1912681.0,1787341.0,1705226.0,1672476.0,1599582.0,1488027.0,1227187.0,1208231.0,1215796.0,1198612.0,1214077.0,1196788.0,1212086.0,1194848.0,1197226.0,1229774.0,1193091.0,1188259.0,1186171.0,1193964.0","25549757.0,14020286.0,9595162.0,7801786.0,6178448.0,5263297.0,4584229.0,4079901.0,3794632.0,3517255.0,3366515.0,3189111.0,3014158.0,2900031.0,2849562.0,2832198.0,2841145.0,2644080.0,2594761.0,2598438.0,2663842.0,2557366.0,2522277.0,2529546.0,2592953.0,2481993.0,2472168.0,2604515.0,2476495.0,2484918.0,2631109.0,2586390.0","27033187.0,14621242.0,10306548.0,8167818.0,6615259.0,5717346.0,5189898.0,4786926.0,4447022.0,4304593.0,4230340.0,3995374.0,3960681.0,3732001.0,3732621.0,3597579.0,3717726.0,3540619.0,3529849.0,3422526.0,3487492.0,3363032.0,3366908.0,3236407.0,3433634.0,3298415.0,3268062.0,3361189.0,3131308.0,3140815.0,3236075.0,3324392.0","28344786.0,15431808.0,10903389.0,8781589.0,7183297.0,6105798.0,5477875.0,4898869.0,4662418.0,4200829.0,4175405.0,4361550.0,4041733.0,4009266.0,4065372.0,4110083.0,4376337.0,4193805.0,4177586.0,3977736.0,4167219.0,4155571.0,4087197.0,4123326.0,4262438.0,4119368.0,4114066.0,4248376.0,3952612.0,4173747.0,4328230.0,4374049.0","26397154.0,14565769.0,10049462.0,8025133.0,6495683.0,5527025.0,4856381.0,4406188.0,4026263.0,3716348.0,3587749.0,3390770.0,3185296.0,3043308.0,3031683.0,3046385.0,3148773.0,2944731.0,2923705.0,2801738.0,2913266.0,2865597.0,2861059.0,2800042.0,2928056.0,3049047.0,2801532.0,2910417.0,2687351.0,2787930.0,2878888.0,2883571.0"
CPC_CPC_Busy_Cycles_avg,"11326833.96,6061346.39,4186583.26,3244574.65,2689971.52,2300705.61,2037926.65,1831278.0,1688177.83,1557183.65,1469632.87,1396598.96,1323812.04,1262982.48,1239523.57,1238539.57,1204173.09,1175237.83,1411234.63,1383600.63,1345330.26,1352718.26,1340303.37,1313330.11,1330716.26,1301501.84,1300145.95,1310859.53,1247590.32,1263156.84,1271455.58,1287097.11","18930460.0,9797334.53,6574038.0,5291155.58,4099542.68,3508579.95,3087010.63,2905803.26,2541715.42,2262601.26,2155793.68,2042410.95,1883794.47,1748882.37,1669439.37,1639205.16,1555610.89,1452388.0,1188056.35,1172920.7,1182281.52,1167003.74,1178139.96,1163789.48,1172997.91,1164084.43,1168355.87,1176312.83,1166776.65,1158606.52,1163115.57,1163854.3","25480702.16,13987166.53,9562534.58,7783675.05,6160123.79,5228036.74,4548728.79,4051874.26,3765930.74,3486744.68,3328309.95,3149315.74,2985130.32,2867962.42,2814106.16,2772387.63,2777039.05,2610626.32,2550838.68,2547651.47,2539743.84,2517284.47,2490771.58,2486396.95,2554324.53,2455783.63,2445268.84,2576708.63,2463386.58,2470329.47,2593981.16,2538366.32","26991378.58,14595914.95,10275219.89,8140011.95,6567744.21,5675983.16,5124927.32,4747551.58,4407897.68,4274722.42,4205806.11,3964701.16,3937426.95,3713089.0,3715093.32,3576671.0,3703390.37,3517268.21,3502595.58,3398804.47,3466887.21,3328341.84,3315288.47,3219056.63,3396883.89,3230387.37,3218410.26,3342505.89,3115050.63,3122356.37,3222174.79,3280061.84","28072000.95,15406771.37,10892730.21,8760253.26,7160248.68,6077548.63,5454580.16,4856983.42,4635831.58,4168957.58,4097108.26,4101600.74,3981816.21,3959313.79,4036819.21,4059802.79,4306609.95,4125973.58,4037404.47,3938574.63,4065522.84,4004231.26,3963510.16,3927267.16,4227458.95,3997036.79,3991313.11,4223452.89,3928165.21,4086791.84,4276736.32,4295499.11","26303551.21,14525830.21,10035486.37,7981839.05,6470145.11,5491547.53,4833976.0,4373228.89,3988940.53,3692002.37,3562572.37,3307429.37,3155547.0,2998942.26,2991559.58,3029037.05,3119387.37,2899608.26,2852852.95,2770528.74,2873097.42,2791294.16,2780455.79,2724722.05,2910784.63,2776784.84,2701813.11,2893795.47,2663641.11,2735887.95,2857412.68,2856430.42"
CPC_CPC_Busy_Cycles_min,"1186727.0,1183110.0,1181215.0,1183566.0,1184237.0,1179753.0,1183224.0,1182641.0,1182335.0,1180264.0,1178211.0,1180573.0,1178423.0,1181601.0,1182165.0,1179998.0,1171737.0,1129998.0,1359994.0,1347944.0,1304272.0,1326972.0,1307161.0,1262609.0,1304137.0,1266278.0,1275990.0,1281927.0,1206150.0,1236121.0,1214408.0,1250880.0","18860806.0,9749257.0,6528998.0,5247484.0,4054281.0,3449233.0,3041743.0,2871265.0,2494281.0,2233711.0,2135075.0,2008613.0,1854974.0,1708204.0,1637659.0,1589979.0,1520103.0,1400665.0,1147327.0,1121985.0,1142922.0,1121704.0,1140592.0,1121818.0,1133862.0,1122742.0,1129419.0,1124869.0,1126111.0,1119732.0,1122250.0,1120340.0","25431171.0,13946773.0,9539805.0,7757965.0,6135986.0,5189640.0,4523965.0,4015245.0,3736332.0,3453411.0,3298149.0,3111006.0,2947817.0,2821769.0,2782657.0,2734325.0,2666060.0,2553729.0,2484440.0,2502131.0,2470957.0,2446118.0,2449687.0,2440500.0,2522698.0,2423811.0,2418203.0,2541522.0,2444839.0,2455404.0,2550296.0,2486498.0","26958499.0,14563992.0,10224452.0,8114299.0,6535248.0,5634392.0,5083379.0,4706806.0,4353686.0,4245099.0,4176525.0,3912830.0,3918557.0,3691789.0,3695921.0,3555613.0,3683802.0,3489720.0,3477612.0,3374974.0,3454585.0,3307712.0,3280157.0,3188958.0,3325526.0,3206529.0,3200301.0,3324906.0,3092799.0,3092161.0,3208277.0,3250605.0","27907686.0,15375263.0,10879862.0,8740906.0,7139743.0,6052837.0,5431596.0,4821757.0,4610816.0,4127991.0,4035108.0,3980015.0,3951652.0,3893879.0,4006670.0,4003317.0,4212008.0,3977507.0,3919228.0,3904870.0,3907203.0,3894400.0,3912488.0,3886224.0,4117066.0,3893491.0,3900224.0,4191683.0,3893425.0,3934407.0,4180975.0,4205124.0","26182774.0,14482524.0,10022027.0,7923199.0,6443007.0,5466912.0,4803173.0,4338734.0,3958594.0,3666718.0,3537061.0,3260042.0,3126797.0,2963084.0,2946777.0,3004740.0,3087166.0,2799311.0,2794379.0,2735898.0,2764705.0,2724632.0,2719763.0,2691649.0,2879794.0,2660263.0,2659202.0,2881430.0,2629417.0,2644487.0,2839065.0,2791443.0"
CPC_CPC_Busy_Cycles_max,"13480982.0,7101515.0,4830350.0,3691652.0,3018515.0,2548208.0,2230814.0,1982987.0,1811168.0,1654449.0,1549705.0,1465126.0,1379038.0,1308339.0,1284592.0,1284091.0,1245364.0,1212025.0,1448008.0,1410409.0,1381145.0,1376069.0,1363448.0,1347465.0,1354010.0,1519407.0,1319098.0,1334946.0,1276366.0,1291057.0,1309549.0,1320501.0","18994445.0,9841627.0,6621002.0,5350731.0,4133200.0,3554812.0,3118671.0,2937055.0,2573858.0,2294994.0,2185923.0,2075443.0,1912681.0,1787341.0,1705226.0,1672476.0,1599582.0,1488027.0,1227187.0,1208231.0,1215796.0,1198612.0,1214077.0,1196788.0,1212086.0,1194848.0,1197226.0,1229774.0,1193091.0,1188259.0,1186171.0,1193964.0","25549757.0,14020286.0,9595162.0,7801786.0,6178448.0,5263297.0,4584229.0,4079901.0,3794632.0,3517255.0,3366515.0,3189111.0,3014158.0,2900031.0,2849562.0,2832198.0,2841145.0,2644080.0,2594761.0,2598438.0,2663842.0,2557366.0,2522277.0,2529546.0,2592953.0,2481993.0,2472168.0,2604515.0,2476495.0,2484918.0,2631109.0,2586390.0","27033187.0,14621242.0,10306548.0,8167818.0,6615259.0,5717346.0,5189898.0,4786926.0,4447022.0,4304593.0,4230340.0,3995374.0,3960681.0,3732001.0,3732621.0,3597579.0,3717726.0,3540619.0,3529849.0,3422526.0,3487492.0,3363032.0,3366908.0,3236407.0,3433634.0,3298415.0,3268062.0,3361189.0,3131308.0,3140815.0,3236075.0,3324392.0","28338521.0,15431808.0,10903389.0,8781589.0,7183297.0,6105798.0,5477875.0,4898869.0,4662418.0,4200829.0,4175405.0,4361550.0,4041733.0,4009266.0,4065372.0,4110083.0,4376337.0,4193805.0,4177586.0,3977736.0,4167219.0,4155571.0,4087197.0,4123326.0,4262438.0,4119368.0,4114066.0,4248376.0,3952612.0,4173747.0,4328230.0,4374049.0","26397154.0,14565769.0,10049462.0,8025133.0,6495683.0,5527025.0,4856381.0,4406188.0,4026263.0,3716348.0,3587749.0,3390770.0,3185296.0,3043308.0,3031683.0,3046385.0,3148773.0,2944731.0,2923705.0,2801738.0,2913266.0,2865597.0,2861059.0,2800042.0,2928056.0,3049047.0,2801532.0,2910417.0,2687351.0,2787930.0,2878888.0,2883571.0"
CPC_CPC_Util_avg,"100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","99.11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
CPC_CPC_Util_min,"100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","83.12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
CPC_CPC_Util_max,"100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
CPC_CPC_Stall_Cycles_avg,"9655.78,9487.74,9534.78,9995.48,10055.78,9995.78,9909.65,9555.04,9956.17,9567.83,9816.7,9427.04,10079.17,9815.91,10041.78,9598.35,9976.3,9940.09,10102.53,10129.47,10057.47,9858.47,10075.84,9992.37,10087.42,10150.79,10115.53,9812.42,10283.16,10231.53,10133.32,10253.79","9726.53,9699.32,9337.63,10298.63,10212.74,9972.42,10028.79,9897.58,10010.68,9952.79,10066.95,9569.0,9672.11,9954.05,10233.05,9781.05,19373.05,10235.16,9959.17,9821.09,9950.65,9820.13,9993.22,9859.87,9770.57,10019.52,9878.3,9378.78,10047.39,9923.35,9905.52,10030.87","9776.53,9755.74,9731.16,18279.95,9774.42,10056.26,10087.32,9954.68,10163.84,10164.89,9894.89,10158.32,9796.63,10149.16,10452.68,9945.32,10412.63,10377.11,10153.58,10342.53,10509.95,10168.79,10332.95,10030.89,10387.84,10229.32,10420.16,10111.42,10516.21,10329.47,10209.32,10233.58","10103.05,9734.53,10252.89,9839.95,9817.11,10235.68,10168.84,10151.05,10298.47,10444.63,9754.05,10255.0,10317.79,10232.79,10513.32,10047.26,10290.89,10485.26,9889.74,10475.11,10316.21,10348.11,10334.16,10376.42,10497.47,10575.47,10368.47,10384.26,10622.47,10435.42,10371.68,10358.95","23711.21,10090.42,9678.79,9916.11,9860.53,10277.32,10278.11,10114.63,18685.32,10280.79,9724.79,10019.95,10143.74,10155.21,10594.63,9949.53,10325.63,10387.47,9794.05,10353.68,10245.47,10417.37,10522.11,10247.37,10318.05,10585.05,10385.84,10526.58,10333.0,10445.26,10216.11,10351.26","10059.16,9781.79,9685.89,9754.26,9826.53,10237.63,10342.53,10138.0,9991.53,10425.63,9722.74,10134.79,10246.32,10218.37,10324.11,9762.95,10366.68,10412.95,9820.47,10439.16,10294.68,10155.53,10142.84,10225.37,10228.79,10471.37,10312.89,10411.32,10530.21,10544.05,18981.32,10314.0"
CPC_CPC_Stall_Cycles_min,"9032.0,8871.0,8362.0,9171.0,9243.0,9090.0,8956.0,8908.0,9094.0,8722.0,9037.0,8759.0,9035.0,8968.0,8979.0,9091.0,8914.0,9100.0,9275.0,9296.0,9183.0,9004.0,9025.0,9027.0,9356.0,9162.0,9273.0,9068.0,9308.0,9294.0,9153.0,8971.0","9058.0,9072.0,8685.0,9235.0,9168.0,9225.0,9273.0,9001.0,9183.0,9042.0,9231.0,8852.0,8877.0,9060.0,9219.0,9188.0,9159.0,9383.0,9082.0,8970.0,9017.0,9097.0,8944.0,8767.0,8991.0,9283.0,9089.0,8731.0,9128.0,9018.0,8910.0,8709.0","9113.0,9103.0,9007.0,9051.0,9036.0,9149.0,9397.0,9065.0,9273.0,9328.0,9115.0,9244.0,9118.0,9244.0,9372.0,9363.0,9667.0,9481.0,9195.0,9376.0,9399.0,9329.0,9135.0,9045.0,9560.0,9387.0,9434.0,9384.0,9631.0,9361.0,9223.0,9353.0","9297.0,9087.0,9059.0,9097.0,8996.0,9312.0,9390.0,9117.0,9379.0,9280.0,9092.0,9481.0,9347.0,9443.0,9446.0,9399.0,9427.0,9617.0,9182.0,9572.0,9406.0,9509.0,9232.0,9306.0,9500.0,9622.0,9504.0,9520.0,9551.0,9567.0,9349.0,9213.0","9398.0,9478.0,9070.0,9249.0,9143.0,9310.0,9368.0,9214.0,9228.0,9252.0,8998.0,9290.0,9136.0,9372.0,9490.0,9259.0,9281.0,9456.0,9174.0,9384.0,9467.0,9507.0,9583.0,9170.0,9339.0,9609.0,9385.0,9679.0,9506.0,9376.0,9269.0,9248.0","9397.0,9113.0,9030.0,9079.0,9153.0,9440.0,9330.0,9254.0,9086.0,9443.0,9032.0,9236.0,9198.0,9206.0,9435.0,9177.0,9370.0,9650.0,9093.0,9449.0,9312.0,9086.0,9139.0,9264.0,9353.0,9509.0,9439.0,9459.0,9441.0,9490.0,9434.0,9155.0"
