Unnamed: 0,initKernel(HIP_vector_type<float__4u>*__unsigned_long)_,void_sumKernel<24__1024>(HIP_vector_type<float__4u>*__HIP_vector_type<float__4u>_const*__int)_
TD_SPI_STALL_sum,"0.0,0.0,0.0,0.0,0.0,0.0","84932.94186046513,84870.83720930232,84630.04651162791,84961.8953488372,84947.55813953489,84949.31395348837"
TD_LOAD_WAVEFRONT_sum,"469573.9534883721,469583.9534883721,469599.30232558143,469585.9534883721,469597.30232558143,469575.9534883721","38400261.95348837,38400000.0,38400047.62790698,38400004.46511628,38400000.0,38400090.79069768"
SPI_CSN_NUM_THREADGROUPS,"52.0,52.0,52.30232558139535,52.0,52.30232558139535,52.0","100000.31395348837,100000.0,100000.08139534884,100000.01162790698,100000.0,100000.13953488372"
SPI_CSN_WAVE,"208.0,208.0,209.2093023255814,208.0,209.2093023255814,208.0","1600002.0465116277,1600000.0,1600000.3720930233,1600000.0348837208,1600000.0,1600000.7093023257"
CPC_CPC_TCIU_BUSY,"303.12790697674416,303.01162790697674,319.3255813953489,302.97093023255815,322.4127906976744,303.5406976744186","354.9767441860465,367.1744186046512,327.0232558139535,365.8837209302326,364.48837209302326,350.6162790697674"
CPC_CPC_TCIU_IDLE,"631057.4127906977,628810.726744186,1390637.773255814,625850.8488372094,2930308.8081395347,630656.2732558139","39983956.58139535,41730669.0,39748916.46511628,41706480.0,41276982.674418606,41163873.41860465"
CPF_CPF_TCIU_BUSY,"3286.0988372093025,3190.9941860465115,3827.970930232558,3203.8255813953488,3622.5348837209303,3268.406976744186","4552.906976744186,5164.720930232558,3532.360465116279,5196.5465116279065,5280.186046511628,4442.023255813954"
TCC_NC_REQ_sum,"31.6453488372093,31.75581395348837,136.34883720930233,31.83139534883721,77.61046511627907,31.72093023255814","69.23255813953489,59.906976744186046,60.54651162790697,75.05813953488372,59.906976744186046,63.48837209302326"
TCC_UC_REQ_sum,"46.59883720930233,48.8546511627907,52.43023255813954,47.01744186046511,50.593023255813954,51.598837209302324","45.93023255813954,48.44186046511628,43.325581395348834,48.22093023255814,48.47674418604652,46.13953488372093"
TCC_RW_REQ_sum,"7513192.0,7513352.0,7513287.587209302,7513383.976744186,7513315.720930233,7513223.279069767","312712976.03488374,312810755.7790698,312763751.05813956,312794346.3372093,312829494.8488372,312832547.6511628"
wave_size_13,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_THREAD_CYCLES_VALU,"300580578.23255813,300586978.23255813,300585037.39534885,300588258.23255813,300583138.23255813,300581858.23255813","19150400000.0,19150400000.0,19150400000.0,19150400000.0,19150402143.255814,19150400000.0"
SQ_IFETCH,"1409137.8604651163,1409167.8604651163,1409292.3662790698,1409173.8604651163,1409149.8604651163,1409143.8604651163","81600000.0,81600000.0,81600000.0,81600000.0,81600045.58139536,81600000.0"
SQ_WAVES_EQ_64,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
TCP_TCC_WRITE_REQ_sum,"7513183.2558139535,7513343.2558139535,7513317.953488372,7513375.2558139535,7513247.2558139535,7513215.2558139535","0.0,0.0,0.0,0.0,71.44186046511628,0.0"
TA_FLAT_WAVEFRONTS_sum,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400000.0,38400000.0,38400000.0,38400000.0,38400000.0,38400000.0"
TA_FLAT_READ_WAVEFRONTS_sum,"0.0,0.0,0.0,0.0,0.0,0.0","38400000.0,38400000.0,38400000.0,38400000.0,38400000.0,38400000.0"
TCC_EA_RDREQ_sum,"48.52906976744186,50.68023255813954,92.86627906976744,52.9593023255814,50.43023255813954,51.07558139534884","410162789.6395349,407890026.0,410803694.5,410428735.8604651,409449029.4767442,409537163.95348835"
TCC_EA_RD_UNCACHED_32B_sum,"94.45348837209302,98.75581395348837,97.70930232558139,103.45348837209303,98.25581395348837,99.54651162790698","94.2093023255814,88.51162790697674,90.67441860465117,87.86046511627907,92.88372093023256,93.0"
wave_size_14,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_SMEM_NORM,"1248.0,1248.0,1248.0,1322.9767441860465,1248.0,1248.0","9600145.627906978,9600000.0,9600000.0,9600008.651162792,9600000.0,9600000.0"
SPI_VWC_CSC_WR,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
TCC_NORMAL_WRITEBACK_sum,"3739958.8779069767,3739464.5174418604,3740003.8197674416,3739531.9593023257,3740178.5465116277,3740165.604651163","243.19767441860466,0.0,0.0,2.697674418604651,0.0,0.0"
TCC_NORMAL_EVICT_sum,"3724001.0813953485,3722949.8953488376,3724043.6104651163,3723296.093023256,3724404.2965116277,3724394.703488372","204947878.24418604,205323945.60465115,205790105.40697676,205256636.24418604,205579801.76744187,205322928.66279072"
wave_size_15,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
wave_size_16,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
GRBM_COUNT.1,"626838.9418604651,814064.569767442,627378.1976744186,625740.0174418605,627992.5755813953,626436.8604651163","42964478.54651163,40338167.0,41372068.1627907,43758425.72093023,52363747.95348837,41596640.44186047"
GRBM_GUI_ACTIVE.1,"626838.9418604651,630244.1453488372,627378.1976744186,625627.7151162791,627992.5755813953,626436.8604651163","39304144.79069768,40241057.15116279,39818264.27906977,40085931.08139535,52354166.930232555,39774901.81395349"
SQ_WAVES.1,"208.0,209.2093023255814,208.0,209.2093023255814,208.0,208.0","1600000.0,1600000.0,1600000.0,1600001.7674418604,1600050.2441860465,1600000.0"
SQ_IFETCH.1,"1409137.8604651163,1409306.784883721,1409155.8604651163,1409304.761627907,1409149.8604651163,1409143.8604651163","81600000.0,81600000.0,81600000.0,81600336.89534885,81617111.6744186,81600000.0"
SQ_IFETCH_LEVEL,"201438.2034883721,201912.68604651163,201448.65697674418,201849.6511627907,201520.86046511628,201453.98837209304","11659709.61627907,11659188.58139535,11660606.46511628,11660571.732558139,11679498.720930234,11660283.360465117"
SQ_ACCUM_PREV_HIRES,"22559871.53488372,22613508.88372093,22561246.76744186,22608584.255813953,22569564.11627907,22560226.255813953","1305938650.6046512,1305869870.0930233,1305945130.3255813,1305976385.1627908,1308047207.9069767,1305935132.5581396"
SQ_INSTS_SMEM.1,"624.0,624.0,624.0,661.4883720930233,624.0,624.0","4800000.0,4800000.0,4800107.779069767,4800000.0,4800000.0,4800226.372093024"
SQ_INST_LEVEL_SMEM,"17248.802325581397,16344.383720930233,17723.93023255814,17882.197674418603,18192.779069767443,17424.45348837209","4184112.395348837,4181281.023255814,4204050.534883721,4193948.348837209,4176183.302325581,4232470.2558139535"
SQ_ACCUM_PREV_HIRES.2,"1933124.8372093025,1832823.906976744,1981940.7906976743,2001684.930232558,2035750.6976744188,1951482.093023256","468500474.4186047,468237430.04651165,470895039.44186044,469699932.46511626,467823944.6511628,473971234.7906977"
SQ_INSTS_VMEM.1,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400020.8372093,38400208.37209302,38400230.69767442,38400000.0,38400000.0,38400000.0"
SQ_INST_LEVEL_VMEM,"5658741.959302325,5656728.988372093,5650472.936046511,5638130.75,5664643.88372093,5689516.063953488","1149800762.1046512,1159944973.6627908,1161619321.6162791,1154493452.0465117,1163325873.9534883,1159154152.7325583"
SQ_ACCUM_PREV_HIRES.3,"633771999.2325581,633550000.6802325,632847393.1918604,631465234.4418606,634435788.0465117,637219460.0","128777195210.18605,129913357651.12791,130100877437.26744,129302797358.09302,130291997328.27908,129824795053.62791"
SQ_INSTS_VMEM.2,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400020.8372093,38400208.37209302,38400230.69767442,38400000.0,38400000.0,38400000.0"
SQ_INST_LEVEL_VMEM.1,"5658741.959302325,5656728.988372093,5650472.936046511,5638130.75,5664643.88372093,5689516.063953488","1149800762.1046512,1159944973.6627908,1161619321.6162791,1154493452.0465117,1163325873.9534883,1159154152.7325583"
SQ_ACCUM_PREV_HIRES.4,"633771999.2325581,633550000.6802325,632847393.1918604,631465234.4418606,634435788.0465117,637219460.0","128777195210.18605,129913357651.12791,130100877437.26744,129302797358.09302,130291997328.27908,129824795053.62791"
GRBM_COUNT.2,"628903.4069767443,624427.6337209302,626359.2325581395,626677.2383720931,625022.8081395349,624047.9186046512","41646064.36046512,41940980.18604651,40697647.55813953,39885248.53488372,39720580.406976745,41662696.825581394"
GRBM_GUI_ACTIVE.2,"628903.4069767443,624427.6337209302,626359.2325581395,626556.4476744187,625022.8081395349,624047.9186046512","40089439.08139534,40087619.23255814,38904644.86046512,39828471.52325581,39588639.488372095,40027128.10465116"
CPC_ME1_BUSY_FOR_PACKET_DECODE.1,"625054.2906976745,620625.488372093,622448.796511628,621925.0,621404.0639534884,620300.3779069767","55868.80232558139,57910.03488372093,54602.16279069768,54417.43023255814,57150.27906976744,53628.686046511626"
SQ_CYCLES.1,"5031235.255813954,4995429.069767442,5010881.860465116,5013425.9069767445,5000190.465116279,4992391.34883721","333168522.88372093,335527849.4883721,325581188.46511626,319081996.2790698,317764651.25581396,333301582.60465115"
SQ_WAVES.2,"208.0,208.0,208.0,209.2093023255814,208.0,208.0","1600002.988372093,1600002.4767441861,1600003.441860465,1600000.0,1600016.3139534884,1600000.0"
SQ_WAVE_CYCLES.1,"30697735.145348836,30494381.337209303,30551980.075581394,30464826.93023256,30548098.09883721,30473437.15697674","21540095984.0,21411703869.906975,20955540091.453487,21410449612.953487,21297807736.66279,21510227938.988373"
SQ_BUSY_CYCLES.1,"4727222.430232558,4695434.796511628,4705039.616279069,4691607.848837209,4703833.941860464,4692237.5813953485","320448913.82558143,320413487.0930233,310939057.5232558,318377911.372093,316459053.4186046,319957653.0813954"
SQ_ACCUM_PREV_HIRES.5,"122796463.60465117,121983054.23255813,122213447.30232558,121864871.86046511,122197917.65116279,121899274.37209302","86203106245.76744,85689538395.90698,83864882282.69766,85684520622.7907,85233954563.39536,86083633825.6279"
VALU_Util,"5.403238920802451,5.428562796606182,5.404379445099333,5.427686819185132,5.396477606580769,5.3990176855211125","11.222878779773286,11.224368747577739,11.302549932126404,11.160305061891979,11.165556306782067,11.28715859030801"
GPU_Activity,"100.0,100.0,100.0,100.0,99.9858998755589,100.0","99.09734167043001,99.53200254161916,98.96491441606594,99.12960901851655,99.77055809995943,99.1056583350425"
GPU_Occupancy,"27.13251935424134,27.279480281228736,27.141947327911772,27.275486627572903,27.102062030366156,27.110892275437266","50.66972731414367,50.67482454160854,51.02908934516491,50.38733013050188,50.451427008903664,50.95994716634728"
SALU_Util,"1.1160380780946744,1.121204527238863,1.1160424450674027,1.1210182350073365,1.1142467359970598,1.1149277145852232","1.8505810753881482,1.8508267615686695,1.8637182991410364,1.8402676305092371,1.8411289654800218,1.8611803120110253"
VALU_threads_per_wave_avg,"64.0,64.0,64.00007754800208,64.0,64.0,64.0","63.664893617021285,63.664893617021285,63.66489066375064,63.664893617021285,63.66490074220683,63.66488682453403"
TCC_RW_REQ_std,"0.9929080417576074,0.8588320155329145,1.0809234639962138,0.7715738183210451,1.0191289196017832,1.029328539014722","733.8208470642575,1580.8824199448684,776.1262547980606,1881.4507143491087,1142.908074090082,1477.667707060637"
TCC_HIT_std,"4.198420769218973,3.8059776178272027,3.8305142894337716,3.8478872774030384,7.424561099262185,3.7505703027088924","2203.4426590094117,2152.3063559306065,2163.1263848058907,2894.6610643339327,3242.8347565675817,2992.8027487181002"
TCC_MISS_std,"0.893488485341525,0.5556076479572089,0.9655568007359467,0.5254691028778851,0.9649365534367921,0.9808859783820693","2030.4773339178255,2641.9469827518565,2327.697348967235,2837.191797563571,2302.700785329275,2960.2697110942795"
TCC_READ_std,"4.590110663201077,3.9523130601447543,4.33052537117664,3.8571320192247027,7.459027788358619,4.0259250282207555","978.1434673962582,2195.909146689066,997.3619973831832,831.9807875076973,1323.354435360133,1340.4348112554137"
TCC_REQ_std,"4.590110663195598,3.974386328231857,4.246594698250717,3.9251656474034706,7.487074505244022,3.9731385760355704","978.1434673962582,2195.909146689066,997.3619973831832,832.1145565730374,1323.4944358712235,1340.4781328170245"
TCC_EA_RDREQ_std,"926.2781667096829,924.1688784858529,1050.7025726330435,909.6911461999575,1017.3040865574268,4479.895110316905","2428244263.298992,2426026222.9844728,2407653367.4662967,2402239665.901288,2461856687.1905,2433641977.317136"
TCC_EA_RDREQ_DRAM_CREDIT_STALL_std,"0.0,0.0,0.0,0.0,0.0,0.0","98097.43005656566,111558.39964078857,135276.5847967335,117195.93194404998,102782.17764509968,110523.58680951162"
TCC_EA_RDREQ_LEVEL_std,"919.5396821800994,1064.9536291780882,1387.8666522877188,915.3064542777356,1278.0959239288475,2533.5181107881435","159156873.35254943,160081029.14282966,160779131.93283522,153501108.0079507,162163649.285705,161650396.41746464"
TCC_EA_WRREQ_std,"32416769.772637367,32637664.224836957,32581621.699958052,32718042.608133785,32885939.7891537,32810757.940582555","0.0,0.0,24.82827944725687,0.0,1209.495588486744,0.0"
TCC_EA_WRREQ_64B_std,"0.2947187662773721,0.5720855327690696,0.46759408922788487,0.5463598484787545,1.0325466897101394,0.39989552710485743","0.0,0.0,4.730836726654824,0.0,0.8968282002951976,0.0"
TCC_EA_WRREQ_DRAM_CREDIT_STALL_std,"3095.2277268325506,3818.019635504161,3717.416406796513,5211.133754270901,3497.363642513699,4246.478972898801","0.0,0.0,0.0,0.0,0.0,0.0"
TCC_EA_WRREQ_LEVEL_std,"2244031.3812451214,2473907.0727040526,2558029.524331789,2784265.181267936,2274945.1938803536,2490513.678295479","0.0,0.0,0.0,0.0,0.0,0.0"
runtime,"371633.5813953488,372899.2034883721,369277.9011627907,371108.70930232556,371347.2965116279,372183.25581395347","26256093.802325584,25850902.860465117,26390859.43023256,25541989.3372093,26689252.546511628,28850540.30232558"
SSoLSoL_VALU_FLOPs,"0.0,0.0,0.0,0.0,0.0,0.0","328.25,328.79,330.22,329.08,330.23,330.88"
SSoLSoL_VALU_IOPs,"370.44,370.16,374.9,371.87,375.5,369.64","624.94,625.96,628.68,626.52,628.71,629.94"
SSoLSoL_Active_CUs,"45.0,45.0,45.0,45.0,45.0,45.0","104.0,104.0,104.0,104.0,104.0,104.0"
SSoLSoL_SALU_Util,"1.12,1.11,1.11,1.12,1.12,1.12","1.85,1.86,1.84,1.86,1.85,1.84"
SSoLSoL_VALU_Util,"5.4,5.4,5.4,5.4,5.43,5.43","11.22,11.29,11.17,11.3,11.22,11.16"
SSoLSoL_VALU_Active_Threads/Wave,"64.0,64.0,64.0,64.0,64.0,64.0","63.66,63.66,63.66,63.66,63.66,63.66"
SSoLSoL_IPC_-_Issue,"1.0,1.0,1.0,1.0,1.0,1.0","0.99,0.99,0.99,0.99,0.99,0.99"
SSoLSoL_Instr_Cache_Hit_Rate,"99.99,99.99,99.99,99.99,99.99,99.99","100.0,100.0,100.0,100.0,100.0,100.0"
SSoLSoL_Instr_Cache_BW,"222.44,222.27,225.13,223.29,225.48,221.95","321.94,322.46,323.87,322.76,323.88,324.52"
SSoLSoL_Scalar_L1D_Cache_Hit_Rate,"86.88,86.74,86.83,86.91,86.26,86.75","100.0,100.0,100.0,100.0,100.0,100.0"
SSoLSoL_Scalar_L1D_Cache_BW,"2.58,2.6,2.71,2.61,2.73,2.54","18.94,18.97,19.05,18.99,19.05,19.09"
SSoLSoL_Vector_L1D_Cache_BW,"1177.16,1176.2,1191.01,1181.63,1192.89,1174.7","2424.01,2427.97,2438.51,2430.16,2438.65,2443.41"
SSoLSoL_L2_Cache_Hit_Rate,"50.01,50.01,50.01,50.01,50.01,50.01","34.86,34.43,34.68,34.69,34.86,34.75"
SSoLSoL_L2-Fabric_Read_BW,"0.03,0.03,0.03,0.04,0.03,0.03","902.58,898.39,909.11,905.26,907.02,924.54"
SSoLSoL_L2-Fabric_Write_BW,"1052.68,1051.1,1060.08,1054.67,1061.95,1050.87","0.0,0.0,0.0,0.0,0.0,0.0"
SSoLSoL_L2-Fabric_Read_Latency,"1142.69,1170.24,1360.16,1149.49,1144.37,1131.09","437.42,463.6,554.99,430.14,449.32,427.59"
SSoLSoL_L2-Fabric_Write_Latency,"405.05,395.07,395.77,393.16,393.78,391.5","0.0,0.0,0.0,0.0,0.0,0.0"
SSoLSoL_Wave_Occupancy,"148.07,148.45,148.06,148.6,148.71,148.42","2143.6,2150.13,2149.77,2147.13,2135.92,2146.28"
SSoLSoL_Instr_Fetch_BW,"111.22,111.14,112.56,111.65,112.74,110.98","160.97,161.23,161.95,161.38,161.94,162.26"
SSoLSoL_Instr_Fetch_Latency,"16.49,16.47,16.48,16.47,16.48,16.48","16.0,16.0,16.03,16.0,16.0,16.0"
CPF_GPU_Busy_Cycles_avg,"628035.64,627633.94,628541.44,628734.31,627146.69,626694.7","39425821.9,39172153.59,39650000.62,38730175.72,39513742.84,39868266.94"
CPF_GPU_Busy_Cycles_min,"14534.0,13906.0,14515.0,13070.0,13877.0,13834.0","11914097.0,11889863.0,11884369.0,11873684.0,11851934.0,11836319.0"
CPF_GPU_Busy_Cycles_max,"4940603.0,5078161.0,4728322.0,4820002.0,4787270.0,4878853.0","69445906.0,69626997.0,69054232.0,64450680.0,68913637.0,69519653.0"
CPF_CPF_Busy_avg,"628035.64,627633.94,628541.41,628734.31,627146.69,626694.7","39425821.78,39172153.5,39649998.98,38730175.6,39513742.73,39868266.79"
CPF_CPF_Busy_min,"14534.0,13906.0,14515.0,13070.0,13877.0,13834.0","11914097.0,11889863.0,11884369.0,11873684.0,11851934.0,11836319.0"
CPF_CPF_Busy_max,"4940603.0,5078161.0,4728322.0,4820002.0,4787270.0,4878853.0","69445899.0,69626991.0,69054230.0,64450680.0,68913637.0,69519647.0"
CPF_CPF_Util_avg,"100.0,100.0,100.0,100.0,99.54,99.48","99.06,98.8,99.03,99.06,99.02,98.82"
CPF_CPF_Util_min,"100.0,100.0,100.0,100.0,20.56,10.12","32.69,27.99,28.29,27.6,29.17,24.38"
CPF_CPF_Util_max,"100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0"
CPF_CPF_Stall_avg,"0.0,0.0,0.01,0.0,0.0,0.0","0.0,0.0,0.01,0.0,0.0,0.0"
CPF_CPF_Stall_max,"0.3,0.3,1.29,0.31,0.26,0.3","0.02,0.02,0.13,0.02,0.02,0.02"
CPF_L2Cache_Intf_Busy_avg,"3286.1,3268.41,3622.53,3827.97,3190.99,3203.83","4552.91,4442.02,5280.19,3532.36,5164.72,5196.55"
CPF_L2Cache_Intf_Busy_min,"1508.0,1506.0,1418.0,1469.0,1536.0,1529.0","2369.0,2034.0,2195.0,2087.0,2132.0,2064.0"
CPF_L2Cache_Intf_Busy_max,"22310.0,24497.0,110743.0,82440.0,22341.0,23625.0","79449.0,84254.0,78094.0,79129.0,77979.0,78326.0"
CPF_L2Cache_Intf_Util_avg,"5.06,4.81,4.86,4.86,4.89,5.03","0.01,0.01,0.01,0.01,0.01,0.01"
CPF_L2Cache_Intf_Util_min,"0.05,0.04,0.05,0.06,0.04,0.02","0.0,0.0,0.0,0.0,0.0,0.0"
CPF_L2Cache_Intf_Util_max,"20.62,17.52,18.21,17.48,20.38,18.22","0.14,0.13,0.13,0.14,0.17,0.12"
CPF_UTCL1_Stall_avg,"137.47,91.43,88.16,91.02,126.34,129.33","264.58,233.87,242.36,395.76,237.57,257.84"
CPF_UTCL1_Stall_max,"9137.0,7929.0,7775.0,8046.0,7963.0,8263.0","11878.0,10222.0,10520.0,13662.0,10530.0,12071.0"
CPC_GPU_Busy_Cycles_avg,"628035.64,627633.94,628541.44,628734.31,627146.69,626694.7","39425821.9,39172153.59,39650000.62,38730175.72,39513742.84,39868266.94"
CPC_GPU_Busy_Cycles_min,"14534.0,13906.0,14515.0,13070.0,13877.0,13834.0","11914097.0,11889863.0,11884369.0,11873684.0,11851934.0,11836319.0"
CPC_GPU_Busy_Cycles_max,"4940603.0,5078161.0,4728322.0,4820002.0,4787270.0,4878853.0","69445906.0,69626997.0,69054232.0,64450680.0,68913637.0,69519653.0"
CPC_CPC_Busy_Cycles_avg,"628035.64,627633.94,628527.88,628734.31,627146.69,626694.7","39425499.3,39171829.73,39649219.13,38730052.98,39513484.76,39868140.38"
CPC_CPC_Busy_Cycles_min,"14534.0,13906.0,14515.0,13070.0,13877.0,13834.0","11914097.0,11889863.0,11884369.0,11873684.0,11851934.0,11836319.0"
CPC_CPC_Busy_Cycles_max,"4940603.0,5078161.0,4728322.0,4820002.0,4787270.0,4878853.0","69440701.0,69621713.0,69053066.0,64450680.0,68913637.0,69514524.0"
CPC_CPC_Util_avg,"100.0,100.0,99.99,100.0,100.0,100.0","99.1,99.11,99.77,98.96,99.53,99.13"
CPC_CPC_Util_min,"100.0,100.0,97.81,100.0,100.0,100.0","36.25,34.27,82.8,26.96,75.15,33.33"
CPC_CPC_Util_max,"100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0"
CPC_CPC_Stall_Cycles_avg,"91655.61,92140.99,90785.17,93469.65,94244.89,94848.41","24615.42,30658.2,24564.45,32076.37,23141.79,31086.09"
CPC_CPC_Stall_Cycles_min,"6628.0,6960.0,6444.0,6978.0,6816.0,6620.0","12091.0,11991.0,11762.0,12349.0,11957.0,12286.0"
CPC_CPC_Stall_Cycles_max,"667346.0,643498.0,635502.0,803483.0,943587.0,962594.0","552166.0,610503.0,591196.0,732623.0,413745.0,686762.0"
CPC_CPC_Stall_Rate_avg,"28.35,28.33,26.77,28.56,28.5,28.72","0.07,0.08,0.07,0.09,0.07,0.08"
CPC_CPC_Stall_Rate_min,"12.73,12.51,10.13,12.76,13.08,12.63","0.02,0.03,0.02,0.03,0.03,0.02"
CPC_CPC_Stall_Rate_max,"65.36,65.41,61.73,64.87,70.39,67.07","0.81,0.88,1.21,1.35,0.78,0.99"
CPC_CPC_Packet_Decoding_avg,"626660.22,623048.03,622783.9,623688.65,624242.0,620199.25","54085.05,53844.58,55237.7,54445.93,55110.53,54162.58"
CPC_CPC_Packet_Decoding_min,"10697.0,10648.0,10538.0,10566.0,10520.0,10823.0","27303.0,27242.0,27524.0,27534.0,27130.0,27635.0"
CPC_CPC_Packet_Decoding_max,"4810069.0,4689240.0,4951945.0,4741202.0,4839945.0,4980086.0","85935.0,89253.0,85968.0,102989.0,88131.0,83589.0"
CPC_SPI_Intf_Busy_Cycles_avg,"560.58,560.47,560.48,560.62,560.55,560.51","38937776.08,39394419.26,39113504.42,39598653.21,39153771.05,39813259.29"
CPC_SPI_Intf_Busy_Cycles_min,"559.0,559.0,559.0,559.0,559.0,559.0","11827566.0,11887450.0,11850653.0,11872958.0,11853111.0,11829925.0"
CPC_SPI_Intf_Busy_Cycles_max,"562.0,562.0,562.0,562.0,562.0,562.0","69223568.0,68996562.0,65164777.0,68070775.0,67260681.0,67520450.0"
CPC_SPI_Intf_Util_avg,"1.08,1.07,1.06,1.07,1.08,1.08","99.08,100.67,99.14,101.99,99.54,99.87"
CPC_SPI_Intf_Util_min,"0.01,0.01,0.01,0.01,0.01,0.01","74.3,88.02,81.1,78.42,75.44,83.3"
CPC_SPI_Intf_Util_max,"3.85,4.04,3.86,4.3,4.04,4.05","116.86,135.69,129.75,151.66,140.29,115.18"
CPC_L2Cache_Intf_Util_avg,"0.57,0.57,0.58,0.57,0.58,0.57","0.0,0.0,0.0,0.0,0.0,0.0"
CPC_L2Cache_Intf_Util_min,"0.01,0.01,0.0,0.0,0.01,0.01","0.0,0.0,0.0,0.0,0.0,0.0"
CPC_L2Cache_Intf_Util_max,"2.17,2.15,2.19,2.15,2.18,2.15","0.0,0.0,0.0,0.0,0.0,0.0"
CPC_UTCL1_Stall_Cycles_avg,"2033.23,2118.01,2148.33,2104.37,2085.6,2106.68","3628.93,3812.35,3825.57,3723.94,3677.28,3736.26"
CPC_UTCL1_Stall_Cycles_min,"540.0,545.0,540.0,545.0,545.0,543.0","3146.0,3226.0,3266.0,3180.0,3178.0,3207.0"
CPC_UTCL1_Stall_Cycles_max,"5634.0,4910.0,6737.0,5105.0,9637.0,9928.0","12127.0,11003.0,11143.0,10976.0,11722.0,11975.0"
CPC_UTCL2_Intf_Busy_Cycles_avg,"2341.26,2357.16,2282.73,2264.2,2396.98,2337.17","4042.23,3946.99,3773.3,3935.19,4058.88,3942.86"
CPC_UTCL2_Intf_Busy_Cycles_min,"814.0,814.0,814.0,814.0,814.0,814.0","3472.0,3523.0,814.0,3372.0,3640.0,3446.0"
CPC_UTCL2_Intf_Busy_Cycles_max,"5012.0,5604.0,5965.0,6379.0,5377.0,5338.0","13780.0,12824.0,11247.0,11796.0,11800.0,11996.0"
CPC_UTCL2_Intf_Util_avg,"4.14,4.18,4.0,3.99,4.32,4.15","0.02,0.01,0.01,0.01,0.02,0.01"
CPC_UTCL2_Intf_Util_min,"0.02,0.02,0.02,0.02,0.02,0.02","0.01,0.0,0.0,0.01,0.01,0.01"
CPC_UTCL2_Intf_Util_max,"19.0,21.28,18.25,19.48,21.58,19.68","0.04,0.04,0.04,0.04,0.04,0.04"
SS_GPU_Busy_avg,"628035.64,627633.94,628541.44,628734.31,627146.69,626694.7","39425821.9,39172153.59,39650000.62,38730175.72,39513742.84,39868266.94"
SS_GPU_Busy_min,"14534.0,13906.0,14515.0,13070.0,13877.0,13834.0","11914097.0,11889863.0,11884369.0,11873684.0,11851934.0,11836319.0"
SS_GPU_Busy_max,"4940603.0,5078161.0,4728322.0,4820002.0,4787270.0,4878853.0","69445906.0,69626997.0,69054232.0,64450680.0,68913637.0,69519653.0"
SS_CS_Busy_avg,"4733641.54,4732338.36,3319128.97,4737977.78,4725890.54,4717674.6","315156078.59,313119977.4,204055707.63,309550066.15,315869363.0,318699181.59"
SS_CS_Busy_min,"31259.0,31124.0,0.0,31256.0,33202.0,31396.0","95118720.0,94959416.0,0.0,94822114.0,94664190.0,94539668.0"
SS_CS_Busy_max,"37789783.0,38836575.0,32417618.0,36875704.0,36992230.0,37320017.0","551462642.0,552562986.0,542094273.0,515422880.0,551040104.0,552453570.0"
SS_SPI_Busy_avg,"619710.74,618848.05,618988.43,618098.76,616989.58,614650.33","39663993.9,39312870.71,39188454.83,39617392.45,39342623.05,39360541.44"
SS_SPI_Busy_min,"4781.0,4669.0,4666.0,4773.0,4669.0,4669.0","11837212.0,11850532.0,11902047.0,11836652.0,11852556.0,11861732.0"
SS_SPI_Busy_max,"4845050.0,4990758.0,4765334.0,4979444.0,4737197.0,4769004.0","69194650.0,69406736.0,68337172.0,67513078.0,66692126.0,68361404.0"
SS_SQ_Busy_avg,"4725533.08,4724289.94,4714977.58,4729904.75,4717898.77,4709656.73","315147034.62,313111149.9,316488782.99,309540869.49,315860555.65,318690224.83"
SS_SQ_Busy_min,"24572.0,24519.0,24320.0,24663.0,26621.0,24809.0","95110586.0,94951278.0,94895943.0,94813702.0,94655792.0,94531550.0"
SS_SQ_Busy_max,"37780648.0,38827856.0,36644500.0,36867563.0,36984110.0,37311173.0","551447861.0,552547973.0,551342156.0,515413389.0,551030877.0,552438518.0"
SS_Dispatched_Workgroups_avg,"52.0,52.0,52.3,52.3,52.0,52.0","100000.31,100000.14,100000.0,100000.08,100000.0,100000.01"
SS_Dispatched_Workgroups_min,"52.0,52.0,52.0,52.0,52.0,52.0","100000.0,100000.0,100000.0,100000.0,100000.0,100000.0"
