,initKernel(HIP_vector_type<float__4u>*__unsigned_long)_,void_sumKernel<24__1024>(HIP_vector_type<float__4u>*__HIP_vector_type<float__4u>_const*__int)_
TD_SPI_STALL_sum,"0.0,0.0,0.0,0.0,0.0,0.0","84932.94186046513,84870.83720930232,84630.04651162791,84961.8953488372,84947.55813953489,84949.31395348837"
TD_LOAD_WAVEFRONT_sum,"469573.9534883721,469583.9534883721,469599.30232558143,469585.9534883721,469597.30232558143,469575.9534883721","38400261.95348837,38400000.0,38400047.62790698,38400004.46511628,38400000.0,38400090.79069768"
SPI_CSN_NUM_THREADGROUPS,"52.0,52.0,52.30232558139535,52.0,52.30232558139535,52.0","100000.31395348837,100000.0,100000.08139534884,100000.01162790698,100000.0,100000.13953488372"
SPI_CSN_WAVE,"208.0,208.0,209.2093023255814,208.0,209.2093023255814,208.0","1600002.0465116277,1600000.0,1600000.3720930233,1600000.0348837208,1600000.0,1600000.7093023257"
CPC_CPC_TCIU_BUSY,"303.12790697674416,303.01162790697674,319.3255813953489,302.97093023255815,322.4127906976744,303.5406976744186","354.9767441860465,367.1744186046512,327.0232558139535,365.8837209302326,364.48837209302326,350.6162790697674"
CPC_CPC_TCIU_IDLE,"631057.4127906977,628810.726744186,1390637.773255814,625850.8488372094,2930308.8081395347,630656.2732558139","39983956.58139535,41730669.0,39748916.46511628,41706480.0,41276982.674418606,41163873.41860465"
CPF_CPF_TCIU_BUSY,"3286.0988372093025,3190.9941860465115,3827.970930232558,3203.8255813953488,3622.5348837209303,3268.406976744186","4552.906976744186,5164.720930232558,3532.360465116279,5196.5465116279065,5280.186046511628,4442.023255813954"
TCC_NC_REQ_sum,"31.6453488372093,31.75581395348837,136.34883720930233,31.83139534883721,77.61046511627907,31.72093023255814","69.23255813953489,59.906976744186046,60.54651162790697,75.05813953488372,59.906976744186046,63.48837209302326"
TCC_UC_REQ_sum,"46.59883720930233,48.8546511627907,52.43023255813954,47.01744186046511,50.593023255813954,51.598837209302324","45.93023255813954,48.44186046511628,43.325581395348834,48.22093023255814,48.47674418604652,46.13953488372093"
TCC_RW_REQ_sum,"7513192.0,7513352.0,7513287.587209302,7513383.976744186,7513315.720930233,7513223.279069767","312712976.03488374,312810755.7790698,312763751.05813956,312794346.3372093,312829494.8488372,312832547.6511628"
wave_size_13,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_THREAD_CYCLES_VALU,"300580578.23255813,300586978.23255813,300585037.39534885,300588258.23255813,300583138.23255813,300581858.23255813","19150400000.0,19150400000.0,19150400000.0,19150400000.0,19150402143.255814,19150400000.0"
SQ_IFETCH,"1409137.8604651163,1409167.8604651163,1409292.3662790698,1409173.8604651163,1409149.8604651163,1409143.8604651163","81600000.0,81600000.0,81600000.0,81600000.0,81600045.58139536,81600000.0"
SQ_WAVES_EQ_64,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
TCP_TCC_WRITE_REQ_sum,"7513183.2558139535,7513343.2558139535,7513317.953488372,7513375.2558139535,7513247.2558139535,7513215.2558139535","0.0,0.0,0.0,0.0,71.44186046511628,0.0"
TA_FLAT_WAVEFRONTS_sum,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400000.0,38400000.0,38400000.0,38400000.0,38400000.0,38400000.0"
TA_FLAT_READ_WAVEFRONTS_sum,"0.0,0.0,0.0,0.0,0.0,0.0","38400000.0,38400000.0,38400000.0,38400000.0,38400000.0,38400000.0"
TCC_EA_RDREQ_sum,"48.52906976744186,50.68023255813954,92.86627906976744,52.9593023255814,50.43023255813954,51.07558139534884","410162789.6395349,407890026.0,410803694.5,410428735.8604651,409449029.4767442,409537163.95348835"
TCC_EA_RD_UNCACHED_32B_sum,"94.45348837209302,98.75581395348837,97.70930232558139,103.45348837209303,98.25581395348837,99.54651162790698","94.2093023255814,88.51162790697674,90.67441860465117,87.86046511627907,92.88372093023256,93.0"
wave_size_14,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
SQ_INSTS_SMEM_NORM,"1248.0,1248.0,1248.0,1322.9767441860465,1248.0,1248.0","9600145.627906978,9600000.0,9600000.0,9600008.651162792,9600000.0,9600000.0"
SPI_VWC_CSC_WR,"208.0,208.0,208.0,208.0,208.0,208.0","1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0"
TCC_NORMAL_WRITEBACK_sum,"3739958.8779069767,3739464.5174418604,3740003.8197674416,3739531.9593023257,3740178.5465116277,3740165.604651163","243.19767441860466,0.0,0.0,2.697674418604651,0.0,0.0"
TCC_NORMAL_EVICT_sum,"3724001.0813953485,3722949.8953488376,3724043.6104651163,3723296.093023256,3724404.2965116277,3724394.703488372","204947878.24418604,205323945.60465115,205790105.40697676,205256636.24418604,205579801.76744187,205322928.66279072"
wave_size_15,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
wave_size_16,"64.0,64.0,64.0,64.0,64.0,64.0","64.0,64.0,64.0,64.0,64.0,64.0"
GRBM_COUNT.1,"626838.9418604651,814064.569767442,627378.1976744186,625740.0174418605,627992.5755813953,626436.8604651163","42964478.54651163,40338167.0,41372068.1627907,43758425.72093023,52363747.95348837,41596640.44186047"
GRBM_GUI_ACTIVE.1,"626838.9418604651,630244.1453488372,627378.1976744186,625627.7151162791,627992.5755813953,626436.8604651163","39304144.79069768,40241057.15116279,39818264.27906977,40085931.08139535,52354166.930232555,39774901.81395349"
SQ_WAVES.1,"208.0,209.2093023255814,208.0,209.2093023255814,208.0,208.0","1600000.0,1600000.0,1600000.0,1600001.7674418604,1600050.2441860465,1600000.0"
SQ_IFETCH.1,"1409137.8604651163,1409306.784883721,1409155.8604651163,1409304.761627907,1409149.8604651163,1409143.8604651163","81600000.0,81600000.0,81600000.0,81600336.89534885,81617111.6744186,81600000.0"
SQ_IFETCH_LEVEL,"201438.2034883721,201912.68604651163,201448.65697674418,201849.6511627907,201520.86046511628,201453.98837209304","11659709.61627907,11659188.58139535,11660606.46511628,11660571.732558139,11679498.720930234,11660283.360465117"
SQ_ACCUM_PREV_HIRES,"22559871.53488372,22613508.88372093,22561246.76744186,22608584.255813953,22569564.11627907,22560226.255813953","1305938650.6046512,1305869870.0930233,1305945130.3255813,1305976385.1627908,1308047207.9069767,1305935132.5581396"
SQ_INSTS_SMEM.1,"624.0,624.0,624.0,661.4883720930233,624.0,624.0","4800000.0,4800000.0,4800107.779069767,4800000.0,4800000.0,4800226.372093024"
SQ_INST_LEVEL_SMEM,"17248.802325581397,16344.383720930233,17723.93023255814,17882.197674418603,18192.779069767443,17424.45348837209","4184112.395348837,4181281.023255814,4204050.534883721,4193948.348837209,4176183.302325581,4232470.2558139535"
SQ_ACCUM_PREV_HIRES.2,"1933124.8372093025,1832823.906976744,1981940.7906976743,2001684.930232558,2035750.6976744188,1951482.093023256","468500474.4186047,468237430.04651165,470895039.44186044,469699932.46511626,467823944.6511628,473971234.7906977"
SQ_INSTS_VMEM.1,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400020.8372093,38400208.37209302,38400230.69767442,38400000.0,38400000.0,38400000.0"
SQ_INST_LEVEL_VMEM,"5658741.959302325,5656728.988372093,5650472.936046511,5638130.75,5664643.88372093,5689516.063953488","1149800762.1046512,1159944973.6627908,1161619321.6162791,1154493452.0465117,1163325873.9534883,1159154152.7325583"
SQ_ACCUM_PREV_HIRES.3,"633771999.2325581,633550000.6802325,632847393.1918604,631465234.4418606,634435788.0465117,637219460.0","128777195210.18605,129913357651.12791,130100877437.26744,129302797358.09302,130291997328.27908,129824795053.62791"
SQ_INSTS_VMEM.2,"469573.9534883721,469583.9534883721,469579.9534883721,469585.9534883721,469577.9534883721,469575.9534883721","38400020.8372093,38400208.37209302,38400230.69767442,38400000.0,38400000.0,38400000.0"
SQ_INST_LEVEL_VMEM.1,"5658741.959302325,5656728.988372093,5650472.936046511,5638130.75,5664643.88372093,5689516.063953488","1149800762.1046512,1159944973.6627908,1161619321.6162791,1154493452.0465117,1163325873.9534883,1159154152.7325583"
SQ_ACCUM_PREV_HIRES.4,"633771999.2325581,633550000.6802325,632847393.1918604,631465234.4418606,634435788.0465117,637219460.0","128777195210.18605,129913357651.12791,130100877437.26744,129302797358.09302,130291997328.27908,129824795053.62791"
GRBM_COUNT.2,"628903.4069767443,624427.6337209302,626359.2325581395,626677.2383720931,625022.8081395349,624047.9186046512","41646064.36046512,41940980.18604651,40697647.55813953,39885248.53488372,39720580.406976745,41662696.825581394"
GRBM_GUI_ACTIVE.2,"628903.4069767443,624427.6337209302,626359.2325581395,626556.4476744187,625022.8081395349,624047.9186046512","40089439.08139534,40087619.23255814,38904644.86046512,39828471.52325581,39588639.488372095,40027128.10465116"
CPC_ME1_BUSY_FOR_PACKET_DECODE.1,"625054.2906976745,620625.488372093,622448.796511628,621925.0,621404.0639534884,620300.3779069767","55868.80232558139,57910.03488372093,54602.16279069768,54417.43023255814,57150.27906976744,53628.686046511626"
SQ_CYCLES.1,"5031235.255813954,4995429.069767442,5010881.860465116,5013425.9069767445,5000190.465116279,4992391.34883721","333168522.88372093,335527849.4883721,325581188.46511626,319081996.2790698,317764651.25581396,333301582.60465115"
SQ_WAVES.2,"208.0,208.0,208.0,209.2093023255814,208.0,208.0","1600002.988372093,1600002.4767441861,1600003.441860465,1600000.0,1600016.3139534884,1600000.0"
SQ_WAVE_CYCLES.1,"30697735.145348836,30494381.337209303,30551980.075581394,30464826.93023256,30548098.09883721,30473437.15697674","21540095984.0,21411703869.906975,20955540091.453487,21410449612.953487,21297807736.66279,21510227938.988373"
SQ_BUSY_CYCLES.1,"4727222.430232558,4695434.796511628,4705039.616279069,4691607.848837209,4703833.941860464,4692237.5813953485","320448913.82558143,320413487.0930233,310939057.5232558,318377911.372093,316459053.4186046,319957653.0813954"
SQ_ACCUM_PREV_HIRES.5,"122796463.60465117,121983054.23255813,122213447.30232558,121864871.86046511,122197917.65116279,121899274.37209302","86203106245.76744,85689538395.90698,83864882282.69766,85684520622.7907,85233954563.39536,86083633825.6279"
TCC_RW_REQ_std,"0.9929080417576074,0.8588320155329145,1.0809234639962138,0.7715738183210451,1.0191289196017832,1.029328539014722","733.8208470642575,1580.8824199448684,776.1262547980606,1881.4507143491087,1142.908074090082,1477.667707060637"
TCC_HIT_std,"4.198420769218973,3.8059776178272027,3.8305142894337716,3.8478872774030384,7.424561099262185,3.7505703027088924","2203.4426590094117,2152.3063559306065,2163.1263848058907,2894.6610643339327,3242.8347565675817,2992.8027487181002"
TCC_MISS_std,"0.893488485341525,0.5556076479572089,0.9655568007359467,0.5254691028778851,0.9649365534367921,0.9808859783820693","2030.4773339178255,2641.9469827518565,2327.697348967235,2837.191797563571,2302.700785329275,2960.2697110942795"
TCC_READ_std,"4.590110663201077,3.9523130601447543,4.33052537117664,3.8571320192247027,7.459027788358619,4.0259250282207555","978.1434673962582,2195.909146689066,997.3619973831832,831.9807875076973,1323.354435360133,1340.4348112554137"
TCC_REQ_std,"4.590110663195598,3.974386328231857,4.246594698250717,3.9251656474034706,7.487074505244022,3.9731385760355704","978.1434673962582,2195.909146689066,997.3619973831832,832.1145565730374,1323.4944358712235,1340.4781328170245"
TCC_EA_RDREQ_std,"926.2781667096829,924.1688784858529,1050.7025726330435,909.6911461999575,1017.3040865574268,4479.895110316905","2428244263.298992,2426026222.9844728,2407653367.4662967,2402239665.901288,2461856687.1905,2433641977.317136"
TCC_EA_RDREQ_DRAM_CREDIT_STALL_std,"0.0,0.0,0.0,0.0,0.0,0.0","98097.43005656566,111558.39964078857,135276.5847967335,117195.93194404998,102782.17764509968,110523.58680951162"
TCC_EA_RDREQ_LEVEL_std,"919.5396821800994,1064.9536291780882,1387.8666522877188,915.3064542777356,1278.0959239288475,2533.5181107881435","159156873.35254943,160081029.14282966,160779131.93283522,153501108.0079507,162163649.285705,161650396.41746464"
TCC_EA_WRREQ_std,"32416769.772637367,32637664.224836957,32581621.699958052,32718042.608133785,32885939.7891537,32810757.940582555","0.0,0.0,24.82827944725687,0.0,1209.495588486744,0.0"
TCC_EA_WRREQ_64B_std,"0.2947187662773721,0.5720855327690696,0.46759408922788487,0.5463598484787545,1.0325466897101394,0.39989552710485743","0.0,0.0,4.730836726654824,0.0,0.8968282002951976,0.0"
TCC_EA_WRREQ_DRAM_CREDIT_STALL_std,"3095.2277268325506,3818.019635504161,3717.416406796513,5211.133754270901,3497.363642513699,4246.478972898801","0.0,0.0,0.0,0.0,0.0,0.0"
TCC_EA_WRREQ_LEVEL_std,"2244031.3812451214,2473907.0727040526,2558029.524331789,2784265.181267936,2274945.1938803536,2490513.678295479","0.0,0.0,0.0,0.0,0.0,0.0"
runtime,"371633.5813953488,372899.2034883721,369277.9011627907,371108.70930232556,371347.2965116279,372183.25581395347","26256093.802325584,25850902.860465117,26390859.43023256,25541989.3372093,26689252.546511628,28850540.30232558"
