,initKernel(double *_ unsigned long),void sumKernel<(int)32_ (int)1024>(double *_ const double *_ int)
lts__t_sectors_srcunit_ltcfabric_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","206833869.95348838,207188024.88372093,206989335.30232558,206831981.02325583,206838096.04651162,206840561.5348837,206820564.1860465"
lts__t_sectors_srcunit_tex.avg.pct_of_peak_sustained_elapsed,"23.421924046783626,23.345032350877194,23.919804520467835,23.359781590643276,23.303972801169593,23.38517732163743,23.323311339181288","60.74688205813953,60.71679539534883,60.72852047674419,60.74336988372092,60.74253288372093,60.7274720116279,60.73626447674418"
lts__t_sectors_srcunit_tex.avg.peak_sustained,"2.0,2.0,2.0,2.0,2.0,2.0,2.0","2.0,2.0,2.0,2.0,2.0,2.0,2.0"
lts__t_sectors_srcunit_tex.avg.per_cycle_elapsed,"0.46843849707602336,0.46690064327485387,0.4783960877192982,0.46719564912280703,0.46607946198830413,0.467703567251462,0.4664661929824562","1.2149376744186047,1.214335930232558,1.2145704186046513,1.2148673720930232,1.2148507325581397,1.214549441860465,1.2147253255813955"
lts__t_sectors_srcunit_tex.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","778857109.5348837,778869341.5813954,779053322.1395348,778850462.4651163,778934665.3488373,778959411.0697675,778818782.5581396"
lts__t_sectors_srcunit_tex.sum.per_second,"41.6796887368421,41.559334918128656,41.70753837426901,41.681413666666664,41.71186845614035,41.67309695321637,41.66509214619883","106.34148868604652,106.2809540116279,106.26483406976743,106.32762618604652,106.31991703488373,106.33549725581395,106.32812210465116"
lts__t_sectors_srcunit_tex_aperture_device_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","427057844.09302324,427256775.53488374,426952194.55813956,427154815.44186044,427108569.627907,427130066.2790698,427099972.88372093"
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","427048844.6511628,427280386.18604654,426878837.2093023,427131604.46511626,427100752.2790698,427128636.60465115,427172143.0232558"
lts__t_sectors_srcunit_tex_evict_normal_lookup_hit.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","351732536.6511628,351499363.44186044,352212648.88372093,351656874.46511626,351817121.4883721,351908689.90697676,351807081.6744186"
lts__t_sectors_srcunit_tex_evict_normal_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","427163096.8372093,427311819.2093023,426823811.6744186,427081182.46511626,427097453.53488374,427113026.04651165,427132327.0697674"
lts__t_sectors_srcunit_tex_lookup_hit.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","351763672.74418604,351598711.44186044,352171838.7906977,351740147.90697676,351865674.88372093,351863942.46511626,351775839.0232558"
lts__t_sectors_srcunit_tex_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","427085718.74418604,427254811.1627907,426911830.8372093,427063452.55813956,427107055.90697676,427130123.39534885,427124410.2790698"
lts__t_sectors_srcunit_tex_op_atom_dot_alu.avg.peak_sustained,"1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0"
lts__t_sectors_srcunit_tex_op_atom_dot_cas.avg.peak_sustained,"1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0"
lts__t_sectors_srcunit_tex_op_read.avg.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","60.73936686046511,60.717342,60.72660082558139,60.73370398837209,60.761149046511626,60.74500081395349,60.748967523255814"
lts__t_sectors_srcunit_tex_op_read.avg.peak_sustained,"2.0,2.0,2.0,2.0,2.0,2.0,2.0","2.0,2.0,2.0,2.0,2.0,2.0,2.0"
lts__t_sectors_srcunit_tex_op_read.avg.per_cycle_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","1.2147873255813955,1.2143468604651162,1.214532011627907,1.2146740581395348,1.215223034883721,1.2148999999999999,1.2149793488372094"
lts__t_sectors_srcunit_tex_op_read.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","778803288.744186,778855478.0,779065260.8372093,778816751.6279069,779056421.0232558,779043617.1627907,778896762.2790698"
lts__t_sectors_srcunit_tex_op_read.sum.per_second,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","106.32833215116278,106.2818169883721,106.26153425581396,106.31075443023256,106.35244038372093,106.36617688372094,106.35031702325583"
lts__t_sectors_srcunit_tex_op_read_evict_normal_lookup_hit.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","351738613.44186044,351583363.5813953,352133051.5813953,351758206.6511628,351885603.7209302,351911709.90697676,351743041.95348835"
lts__t_sectors_srcunit_tex_op_read_evict_normal_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","427124414.46511626,427249270.0,426867221.3023256,427167429.8604651,427133466.1395349,427126755.90697676,427105383.1627907"
lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","351681870.88372093,351609067.8604651,352202146.6976744,351736466.18604654,351844877.81395346,351941542.7906977,351842264.6976744"
lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","427149903.25581396,427436853.88372093,427074894.9883721,427242372.7906977,427198410.7906977,427031244.04651165,427115986.2790698"
lts__t_sectors_srcunit_tex_op_red.avg.peak_sustained,"1.0,1.0,1.0,1.0,1.0,1.0,1.0","1.0,1.0,1.0,1.0,1.0,1.0,1.0"
lts__t_sectors_srcunit_tex_op_write.avg.pct_of_peak_sustained_elapsed,"31.22923203508772,31.12670980701754,31.893072666666665,31.146375409356725,31.071963701754388,31.180236403508772,31.097748450292396","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
lts__t_sectors_srcunit_tex_op_write.avg.peak_sustained,"1.5,1.5,1.5,1.5,1.5,1.5,1.5","1.5,1.5,1.5,1.5,1.5,1.5,1.5"
lts__t_sectors_srcunit_tex_op_write.avg.per_cycle_elapsed,"0.46843849707602336,0.46690064327485387,0.4783960877192982,0.46719564912280703,0.46607946198830413,0.467703567251462,0.4664661929824562","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
lts__t_sectors_srcunit_tex_op_write.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
lts__t_sectors_srcunit_tex_op_write.sum.per_second,"41.6796887368421,41.559334918128656,41.70753837426901,41.681413666666664,41.71186845614035,41.67309695321637,41.66509214619883","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
lts__t_sectors_srcunit_tex_op_write_evict_normal_lookup_hit.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","0.0,51737.16279069767,145491.55813953487,121251.04651162791,0.0,0.0,0.0"
lts__t_sectors_srcunit_tex_op_write_lookup_hit.sum,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,"24.404296491228067,24.28288261988304,25.181592918128658,24.26429619883041,24.193787953216376,24.326607040935674,24.21618757894737","40.40324170930232,40.383584918604654,40.382883104651164,40.40978022093023,40.41014274418605,40.394073779069764,40.41163696511628"
lts__throughput.avg.pct_of_peak_sustained_elapsed,"57.71946679532164,57.397381023391816,59.31802744444444,57.4712112865497,57.25917474269006,57.58624039181286,57.369085695906435","88.69674559302325,88.69523930232558,88.70528179069767,88.70217434883722,88.72119770930233,88.69305172093023,88.70416139534883"
lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed,"48.20213087719298,48.02192433333334,49.35707602339181,48.03894836842105,47.89848947368421,48.103194812865496,47.957227777777774","17.025704790697674,17.06082327906977,17.070428197674417,17.053524372093023,17.03646765116279,17.02557446511628,17.033289406976746"
memory_access_size_type,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
memory_access_type,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
memory_l1_tag_requests_global,"2519016.0467836256,2519032.0467836256,2519056.0467836256,2519024.0467836256,2519064.0467836256,2519048.0467836256,2519040.0467836256","204800000.0,204800000.0,204800000.0,204800000.0,204800000.0,204800000.0,204800000.0"
memory_l2_theoretical_sectors_global,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","819200000.0,819200000.0,819200000.0,819200000.0,819200000.0,819200000.0,819200000.0"
memory_l2_theoretical_sectors_global_ideal,"10076064.187134502,10076128.187134502,10076224.187134502,10076096.187134502,10076256.187134502,10076192.187134502,10076160.187134502","819200000.0,819200000.0,819200000.0,819200000.0,819200000.0,819200000.0,819200000.0"
memory_type,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
profiler__replayer_bytes_mem_accessible.avg,"0.49204156140350874,0.492044649122807,0.492049269005848,0.49204312280701756,0.49205078947368425,0.49204771345029236,0.49204617543859647","0.6495139069767442,0.649518034883721,0.6495241860465116,0.649516,0.6495262093023256,0.6495221279069767,0.6495200697674418"
profiler__replayer_bytes_mem_accessible.max,"0.49204156140350874,0.492044649122807,0.492049269005848,0.49204312280701756,0.49205078947368425,0.49204771345029236,0.49204617543859647","0.6495139069767442,0.649518034883721,0.6495241860465116,0.649516,0.6495262093023256,0.6495221279069767,0.6495200697674418"
profiler__replayer_bytes_mem_accessible.min,"0.49204156140350874,0.492044649122807,0.492049269005848,0.49204312280701756,0.49205078947368425,0.49204771345029236,0.49204617543859647","0.6495139069767442,0.649518034883721,0.6495241860465116,0.649516,0.6495262093023256,0.6495221279069767,0.6495200697674418"
profiler__replayer_bytes_mem_accessible.sum,"19.1896207251462,19.189740771929824,19.204587187134504,19.189680754385964,19.18998092397661,19.18986085380117,19.189800807017544","26.448770255813955,26.487074406976742,25.333771162790697,26.090519383720927,26.42627641860465,25.715363127906976,26.440482348837207"
profiler__replayer_bytes_mem_backed_up.avg,"0.49204156140350874,0.492044649122807,0.492049269005848,0.49204312280701756,0.49205078947368425,0.49204771345029236,0.49204617543859647","0.6495139069767442,0.649518034883721,0.6495241860465116,0.649516,0.6495262093023256,0.6495221279069767,0.6495200697674418"
profiler__replayer_bytes_mem_backed_up.max,"0.49204156140350874,0.492044649122807,0.492049269005848,0.49204312280701756,0.49205078947368425,0.49204771345029236,0.49204617543859647","0.6495139069767442,0.649518034883721,0.6495241860465116,0.649516,0.6495262093023256,0.6495221279069767,0.6495200697674418"
profiler__replayer_bytes_mem_backed_up.min,"0.49204156140350874,0.492044649122807,0.492049269005848,0.49204312280701756,0.49205078947368425,0.49204771345029236,0.49204617543859647","0.6495139069767442,0.649518034883721,0.6495241860465116,0.649516,0.6495262093023256,0.6495221279069767,0.6495200697674418"
profiler__replayer_bytes_mem_backed_up.sum,"19.1896207251462,19.189740771929824,19.204587187134504,19.189680754385964,19.18998092397661,19.18986085380117,19.189800807017544","26.448770255813955,26.487074406976742,25.333771162790697,26.090519383720927,26.42627641860465,25.715363127906976,26.440482348837207"
sass__inst_executed_global_loads,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0,102400000.0"
sass__inst_executed_global_stores,"1259508.0233918128,1259516.0233918128,1259528.0233918128,1259512.0233918128,1259532.0233918128,1259524.0233918128,1259520.0233918128","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
sass__inst_executed_per_opcode,"15120752.280701755,15120848.280701755,15120992.280701755,15120800.280701755,15121040.280701755,15120944.280701755,15120896.280701755","416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0"
sass__inst_executed_per_opcode_with_modifier_all,"15120752.280701755,15120848.280701755,15120992.280701755,15120800.280701755,15121040.280701755,15120944.280701755,15120896.280701755","416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0"
sass__inst_executed_per_opcode_with_modifier_selective,"15120752.280701755,15120848.280701755,15120992.280701755,15120800.280701755,15121040.280701755,15120944.280701755,15120896.280701755","416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0,416000000.0"
sass__thread_inst_executed_true_per_opcode,"483837448.98245615,483840520.98245615,483845128.98245615,483838984.98245615,483846664.98245615,483843592.98245615,483842056.98245615","13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744"
sass__thread_inst_executed_true_per_opcode_with_modifier_all,"483837448.98245615,483840520.98245615,483845128.98245615,483838984.98245615,483846664.98245615,483843592.98245615,483842056.98245615","13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744"
sass__thread_inst_executed_true_per_opcode_with_modifier_selective,"483837448.98245615,483840520.98245615,483845128.98245615,483838984.98245615,483846664.98245615,483843592.98245615,483842056.98245615","13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744,13008548482.976744"
sm__cycles_active.avg,"88662.46752847369,88667.13809373099,88670.13270753218,88707.86077765498,88665.56935469006,88664.0835128538,88664.19744539181","9790132.780191755,9796045.837821256,9793266.941758454,9793745.048041629,9791557.520807827,9792968.34893921,9792421.004895907"
sm__cycles_elapsed.avg.per_second,"1.1687784269005848,1.1802047777777778,1.1042140701754386,1.1877456140350877,1.1981986842105263,1.1779737719298247,1.1842943976608187","1.0912268023255813,1.0916405930232558,1.0914159651162791,1.0911977790697673,1.0908462906976744,1.0909289302325582,1.0911991279069768"
sm__inst_executed.avg.pct_of_peak_sustained_elapsed,"12.343957339181287,12.315990099415204,12.603203912280701,12.317121216374268,12.28136971345029,12.327990573099417,12.303003894736841","12.006994360465116,11.988521744186047,11.98069623255814,12.006459848837208,12.001577360465117,11.99194491860465,12.002075499999998"
sm__inst_executed.avg.per_cycle_active,"1.3867892865497076,1.3865475204678364,1.3838350877192982,1.3871173918128654,1.3871773040935673,1.387813543859649,1.3882459005847954","0.4806802906976744,0.4804699534883721,0.48019877906976743,0.4812149418604651,0.4804636627906977,0.4804178953488372,0.480694534883721"
sm__inst_executed.avg.per_cycle_elapsed,"0.4937583099415205,0.49263963157894736,0.5041281578947369,0.4926848596491228,0.49125479532163746,0.4931196374269006,0.49212016374269","0.48027979069767446,0.47954090697674423,0.47922784883720926,0.4802583604651163,0.48006312790697675,0.47967781395348835,0.480082976744186"
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active,"1.1389006140350877,1.1425794269005847,1.1319543333333333,1.1441797368421052,1.1372028538011696,1.1471156374269007,1.1482641754385965","2.9592961860465117,2.957998337209302,2.9563186627906974,2.962600011627907,2.9579601976744185,2.9576778255813956,2.959369372093023"
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,"0.2021868888888889,0.19865024561403508,0.22592486549707605,0.19522159649122808,0.19205499415204677,0.1984269590643275,0.19433315789473685","2.9568303139534886,2.952278430232558,2.9503412093023256,2.9567107441860463,2.9554943604651163,2.953121523255814,2.9556050348837206"
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active,"28.682645596491227,28.676932970760237,28.622372631578948,28.688512614035087,28.691039795321636,28.702477327485383,28.711274736842107","2.0336473837209303,2.032757546511628,2.031610290697674,2.0359096046511627,2.0327307325581394,2.0325371860465116,2.033707430232558"
sm__inst_executed_pipe_cbu.avg.pct_of_peak_sustained_active,"0.05694502923976608,0.05712894152046784,0.05659773099415205,0.057208999999999996,0.05686013450292398,0.057355748538011696,0.057413210526315796","0.09243848837209302,0.09239802325581395,0.09234593023255813,0.09254133720930233,0.09239686046511628,0.09238801162790698,0.09244123255813953"
sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed,"0.020218695906432747,0.01986504678362573,0.022592538011695907,0.01952216374269006,0.019205508771929825,0.01984269590643275,0.01943332748538012","0.36944597674418606,0.36887756976744185,0.3686368372093023,0.36942952325581396,0.36927932558139537,0.3689829302325581,0.3692945813953488"
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active,"11.518614245614035,11.516476385964912,11.494227233918128,11.521172210526315,11.521904040935674,11.526875567251462,11.530440467836257","3.4202251627906977,3.4187285813953485,3.416799046511628,3.4240296395348837,3.418683488372093,3.418358,3.4203260813953484"
sm__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","6.285819209302326,6.283068813953489,6.279522674418605,6.292811267441861,6.282985930232558,6.282387639534884,6.28600461627907"
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,"11.518614245614035,11.516476385964912,11.494227233918128,11.521172210526315,11.521904040935674,11.526875567251462,11.530440467836257","12.201884395348836,12.196545360465116,12.189661662790698,12.215457186046512,12.196384418604652,12.195223162790697,12.202244418604652"
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,"4.107912859649122,4.098708321637427,4.193537116959064,4.099199643274853,4.087388064327485,4.102715906432749,4.09452349122807","12.191717290697675,12.17296046511628,12.165014686046511,12.191174627906976,12.186216988372092,12.176436290697673,12.18672276744186"
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.18487708139534884,0.18479617441860466,0.18469182558139535,0.18508273255813953,0.18479370930232558,0.18477613953488373,0.18488247674418606"
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","2.218524476744186,2.2175537209302325,2.216302127906977,2.2209921511627906,2.2175243953488373,2.2173133372093026,2.218589906976744"
sm__inst_issued.avg.pct_of_peak_sustained_active,"34.799726514619884,34.793969169590646,34.72489266666666,34.80796697076023,34.809027192982455,34.82620030409357,34.83704201754386","12.017130441860466,12.011984337209302,12.00516746511628,12.03051096511628,12.011713709302324,12.010569511627907,12.017485151162791"
sm__inst_issued.avg.per_cycle_active,"1.3919890643274855,1.391758760233918,1.3889956959064327,1.3923186608187135,1.3923611169590644,1.3930480643274854,1.393481649122807","0.4806851976744186,0.48047941860465115,0.4802066860465116,0.481220488372093,0.480468511627907,0.48042276744186047,0.4806993953488372"
sm__inst_issued.max.pct_of_peak_sustained_active,"76.65035928070175,76.67076047953216,76.49780566081871,76.68540019883041,76.67570091812865,76.72935471929824,76.76046279532164","16.722009058139534,16.699930488372093,16.74319915116279,16.74680084883721,16.729080744186046,16.717391406976745,16.725746255813952"
sm__instruction_throughput.avg.pct_of_peak_sustained_active,"34.799726514619884,34.793969169590646,34.72489266666666,34.80796697076023,34.809027192982455,34.82620030409357,34.83704201754386","13.126269523255814,13.120526023255815,13.113120906976745,13.140870593023255,13.12035288372093,13.119103662790698,13.12665684883721"
sm__issue_active.avg.pct_of_peak_sustained_elapsed,"12.36701561988304,12.33863956140351,12.628960771929824,12.339322865497076,12.303273438596491,12.350633666666667,12.325176789473684","12.007117360465116,11.988756302325582,11.98089353488372,12.006595976744187,12.001700290697674,11.992067209302327,12.002198441860465"
sm__maximum_warps_per_active_cycle_pct,"100.0,100.0,100.0,100.0,100.0,100.0,100.0","100.0,100.0,100.0,100.0,100.0,100.0,100.0"
sm__memory_throughput.avg.pct_of_peak_sustained_elapsed,"8.175433801169591,8.157741152046784,8.341917812865496,8.159384771929824,8.136382204678362,8.165780953216375,8.150204953216374","12.191717290697675,12.17296046511628,12.165014686046511,12.191174627906976,12.186216988372092,12.176436290697673,12.18672276744186"
sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,"0.015163964912280701,0.014898760233918128,0.01694438596491228,0.014641654970760233,0.014404116959064328,0.014882005847953217,0.014574982456140351","6.288693360465117,6.273152034883721,6.270153639534883,6.283414093023255,6.280678081395349,6.276318290697675,6.28172976744186"
sm__mio_inst_issued.avg.pct_of_peak_sustained_elapsed,"2.1045031403508774,2.0990167426900586,2.1532497426900585,2.0984052339181285,2.091707783625731,2.1009646608187134,2.0958450643274853","6.835066279069768,6.824549895348837,6.820092569767442,6.8347649534883725,6.831982104651163,6.826498569767442,6.832262604651162"
sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed,"8.1753883625731,8.157686660818714,8.341889321637426,8.159355058479532,8.136365152046784,8.16574647368421,8.150180409356725","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed,"8.1753883625731,8.157686660818714,8.341889321637426,8.159355058479532,8.136365152046784,8.16574647368421,8.150180409356725","0.0,0.0,0.0,0.0,0.0,0.0,0.0"
sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_active,"28.682645596491227,28.676932970760237,28.622372631578948,28.688512614035087,28.691039795321636,28.702477327485383,28.711274736842107","2.0336473837209303,2.032757546511628,2.031610290697674,2.0359096046511627,2.0327307325581394,2.0325371860465116,2.033707430232558"
sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,"10.249563520467836,10.226905900584796,10.461250345029239,10.228477046783626,10.199264719298245,10.236947152046783,10.216875514619883","2.031952941860465,2.028826813953488,2.027502453488372,2.0318623604651163,2.0310361395348835,2.029406058139535,2.031120488372093"
sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,"11.518614245614035,11.516476385964912,11.494227233918128,11.521172210526315,11.521904040935674,11.526875567251462,11.530440467836257","6.5631348139534875,6.560263023255814,6.556560441860465,6.570435337209303,6.5601764534883715,6.559551825581395,6.563328453488372"
sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,"4.107912859649122,4.098708321637427,4.193537116959064,4.099199643274853,4.087388064327485,4.102715906432749,4.09452349122807","6.557666093023256,6.547577244186046,6.543303313953489,6.557374220930232,6.554707674418605,6.5494467790697675,6.554979674418605"
sm__pipe_fmaheavy_cycles_active.avg.pct_of_peak_sustained_elapsed,"8.215825771929824,8.197416713450293,8.38707425146199,8.198399391812867,8.17477618128655,8.205431894736842,8.189046994152045","13.115332337209301,13.095154488372092,13.086606627906976,13.114748465116278,13.109415255813955,13.098893627906977,13.109959406976746"
sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","6.285819209302326,6.283068813953489,6.279522674418605,6.292811267441861,6.282985930232558,6.282387639534884,6.28600461627907"
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","6.470696290697674,6.467864953488372,6.464214500000001,6.477893918604651,6.467779581395349,6.46716376744186,6.47088723255814"
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","6.465304639534884,6.455357848837209,6.45114411627907,6.465016825581396,6.462387802325582,6.457201069767442,6.462656046511627"
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.18487708139534884,0.18479617441860466,0.18469182558139535,0.18508273255813953,0.18479370930232558,0.18477613953488373,0.18488247674418606"
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.18472301162790697,0.18443887209302326,0.1843183953488372,0.1847147906976744,0.18463968604651163,0.18449151162790697,0.18464732558139535"
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.18487708139534884,0.18479617441860466,0.18469182558139535,0.18508273255813953,0.18479370930232558,0.18477613953488373,0.18488247674418606"
sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained,"1824.0,1824.0,1824.0,1824.0,1824.0,1824.0,1824.0","1824.0,1824.0,1824.0,1824.0,1824.0,1824.0,1824.0"
sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained,"14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0","14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0"
sm__throughput.avg.pct_of_peak_sustained_elapsed,"12.36701561988304,12.33863956140351,12.628960771929824,12.339322865497076,12.303273438596491,12.350633666666667,12.325176789473684","13.115332337209301,13.095154488372092,13.086606627906976,13.114748465116278,13.109415255813955,13.098893627906977,13.109959406976746"
sm__warps_active.avg.pct_of_peak_sustained_active,"12.444709538011695,12.44434125146199,12.444737192982457,12.44453932748538,12.444646923976608,12.44430832748538,12.444187766081871","79.92452420930233,79.85999310465117,79.83581503488372,79.83590588372093,79.80376143023256,79.91948346511627,79.88777408139535"
sm__warps_active.avg.per_cycle_active,"7.964614076023391,7.9643783859649115,7.9646318128654965,7.964505181286549,7.964573988304094,7.964357298245614,7.964280157894737","51.15169547674419,51.11039556976744,51.09492154651162,51.09497976744186,51.07440732558139,51.14846938372093,51.12817536046512"
smsp__average_warp_latency_per_inst_issued.ratio,"5.795317438596491,5.820484228070176,5.808513438596491,5.799587900584795,5.808324555555555,5.79905218128655,5.797040251461989","135.70957790697673,135.83966808139536,135.81832360465117,135.62769009302326,135.71266311627906,135.72240961627907,135.6707931860465"
smsp__average_warps_active_per_inst_executed.ratio,"5.830868812865497,5.856504403508772,5.84404549122807,5.835024333333333,5.844436005847953,5.83452129239766,5.832487233918129","135.7109671860465,135.84151660465116,135.82016059302325,135.62948838372094,135.71405012790697,135.72380015116278,135.67218490697675"
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio,"0.2498929649122807,0.24988799415204677,0.24989565497076024,0.2498989298245614,0.2498948245614035,0.24989342105263157,0.2498948888888889","0.05722123255813954,0.05720988372093023,0.057220593023255814,0.05722426744186047,0.057217337209302326,0.05721513953488372,0.05721244186046512"
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio,"0.05101901169590644,0.050847742690058484,0.05073184210526316,0.05062854970760234,0.05087389473684211,0.050855380116959066,0.05089027485380117","1.512276058139535,1.5087395000000001,1.5082985465116279,1.5110790116279071,1.5074132441860466,1.5077492209302328,1.509341511627907"
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio,"0.0802913216374269,0.08011060233918128,0.08018418128654971,0.08021822807017544,0.0802918538011696,0.0801658245614035,0.08027842105263158","0.02724924418604651,0.02725045348837209,0.027254523255813953,0.027253976744186045,0.0272493488372093,0.027249918604651164,0.0272513488372093"
smsp__average_warps_issue_stalled_imc_miss_per_issue_active.ratio,"0.5625389590643275,0.5705204970760234,0.56216616374269,0.5742006198830409,0.5643530350877193,0.5720967076023392,0.5734157368421052","0.00047182558139534885,0.00046325581395348836,0.00047670930232558136,0.00046927906976744184,0.00047553488372093026,0.0004738720930232558,0.00047823255813953485"
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","18.07809503488372,18.12972381395349,18.184630325581395,18.119165755813953,18.074913744186045,18.062699790697675,18.0687056627907"
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,"1.3755412865497076,1.3756159356725146,1.3765212865497076,1.3765664678362572,1.3761057660818714,1.3758004736842104,1.3758972514619885","107.34966515116278,107.45631404651162,107.24213638372093,107.24246377906977,107.24579198837209,107.32816136046512,107.29194480232559"
